id,source_file,source_locator,authority_sha256,observation,adverse_evidence,proposed_smallest_correction,status
SMOOTHING-001,smoothing.tex,smoothing.tex:378,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The text calls the sequence at 381 a short exact sequence.","The displayed sequence has no initial zero; lines 411-413 obtain exactness on the left only under an additional local-complete-intersection hypothesis.","Replace 'short exact sequence' by 'exact sequence'.",confirmed_pending_canon_intake_target_emendation_applied
SMOOTHING-002,smoothing.tex,smoothing.tex:475,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The lifts f_1 through f_c are placed in R[y_1,...,y_c].","The presentation at lines 470/472 and the quotient at line 478 use variables y_1 through y_m; c counts equations rather than variables.","Replace R[y_1,...,y_c] by R[y_1,...,y_m].",confirmed_pending_canon_intake_target_emendation_applied
SMOOTHING-003,smoothing.tex,smoothing.tex:708,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The phrase reads 'Choose an enumerations'.","A single enumeration of E is chosen.","Replace 'an enumerations' by 'an enumeration'.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-004,smoothing.tex,smoothing.tex:830,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The phrase reads 'the classes ... correspond a_i/1'.","The verb requires the preposition 'to'.","Insert 'to' after 'correspond'.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-005,smoothing.tex,smoothing.tex:2693,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The generators are said to generate H_{A/R}.","The active situation is k -> A -> Lambda and no R is defined; steps 1 and the later proof consistently use H_{A/k}.","Replace H_{A/R} by H_{A/k}.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-006,smoothing.tex,smoothing.tex:2737,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"R is defined with variables t_1 through t_m.","gamma_i and all subsequent polynomial-ring formulas use t_1 through t_d; m counts the y variables and need not equal d.","Replace t_m by t_d in the terminal index of the t-variable list.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-007,smoothing.tex,smoothing.tex:2873,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The sentence starts with A_{a_i} but immediately reasons with B_{a_j} over A_{a_j}.","The a_j are the generators of H_{A/k}; i indexes the x variables and does not index this family.","Replace A_{a_i} by A_{a_j}.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-008,smoothing.tex,smoothing.tex:2880,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The polynomial base is written k[x_1,...,x_n].","This construction introduced exactly x_1 through x_d; n has a different value N+dc.","Replace x_n by x_d.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-009,smoothing.tex,smoothing.tex:2893-2894,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The proof chooses pi_1,...,pi_d in Lambda mapping to parameters of Lambda_q.","The step being justified chose them in p as a regular parameter system of k[y]_p, and lines 2899-2903 require that base-ring regular sequence.","Choose pi_1,...,pi_d in p forming a regular system of parameters of k[y_1,...,y_m]_p.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-010,smoothing.tex,smoothing.tex:2958,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The sentence reads 'this trivial but key observation'.","The copula is missing.","Insert 'is' after 'this'.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-011,smoothing.tex,smoothing.tex:2990,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The sentence reads 'Setting ... and we conclude'.","The participial construction should attach directly to the conclusion.","Delete 'and' after the setting clause.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-012,smoothing.tex,smoothing.tex:2999,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The base of H_B is written k[x_1,...,x_n].","B was constructed over k[x_1,...,x_d]; n=N+dc is not the number of x variables.","Replace x_n by x_d.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-013,smoothing.tex,smoothing.tex:3000,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The base of H_C is written k[x_1,...,x_n].","C is a k[x_1,...,x_d]-algebra throughout this construction.","Replace x_n by x_d.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-014,smoothing.tex,smoothing.tex:3002,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The tensor product uses k[x_1,...,x_n].","The displayed situation at lines 3004-3008 and every surrounding tensor product use k[x_1,...,x_d].","Replace x_n by x_d.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-015,smoothing.tex,smoothing.tex:3054,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The parenthetical reference 'of (ref{item-fifth-resolve}' is not closed.","The following line begins the consequence and the parallel references are parenthesized.","Add the closing parenthesis after the reference.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-016,smoothing.tex,smoothing.tex:3187,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The last summand uses d_{n,l}.","Only generators d_1,...,d_M were defined and the preceding components use d_l; d_{n,l} is undefined.","Replace d_{n,l} by d_l.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-017,smoothing.tex,smoothing.tex:3191,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The sentence says 'g_j as a solution'.","The intended assertion is existence of a solution.","Replace 'as' by 'has'.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-018,smoothing.tex,smoothing.tex:3266,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The repeated last summand uses d_{n,l}.","Only d_l is defined, exactly as in the preceding components.","Replace d_{n,l} by d_l.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-019,smoothing.tex,smoothing.tex:3270,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The repeated sentence says 'g_j as a solution'.","The intended assertion is existence of a solution in R'.","Replace 'as' by 'has'.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-020,smoothing.tex,smoothing.tex:3425,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The factorization A -> B -> A^completion is followed by 'A -> P smooth'.","P is undefined; B is the middle algebra and is used throughout the following construction.","Replace P by B.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-021,smoothing.tex,smoothing.tex:991-994,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The localizations of A' are indexed by p rather than p'.","The lemma statement and lines 932-938 define p' as the prime of A'; p is the prime of A.","Replace the four A'-localization subscripts p at lines 991-994 by p'.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-022,smoothing.tex,smoothing.tex:1163,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The conormal term is localized at plain p in B.","The relevant prime of B is p_B, used in the residue field on the next line; p is a prime of A.","Replace both plain p subscripts in the conormal term by p_B.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-023,smoothing.tex,smoothing.tex:1167,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The residue field kappa(p) is said to be separable over undefined k.","This section defined kappa=R/pi R at line 945 and the hypothesis is the extension kappa subset Lambda/pi Lambda.","Replace k by kappa.",confirmed_pending_canon_intake_target_emendation_required
