topic_id,score,hit_fields,tag,full_label,file,line,kind,section_title,snippet,status
analytic-space,159,label;chapter;text,,gaga-definition-holomorphic-map-analytic-subsets,gaga.tex,68,definition,Analytic subsets of complex affine space,"egin definition egin reference ite[ 1, no. 1, pp. 3--4] GAGA Let U C r and V C s be analytic subsets. A map arphi:Uo V is holomorphic if it is continuous and composition with arphi sends every germ in O V,arphi(x) to a germ in O U,x for every x U . Equivalently, the s coordinate ",lexical_candidate_only
analytic-space,159,label;chapter;text,,gaga-proposition-algebraic-graph-holomorphic-regular,gaga.tex,740,proposition,An analytic criterion for regularity,"egin proposition Let X and Y be algebraic varieties and let f : X an o Y an be holomorphic. If its graph is the classical point set of a Zariski locally closed reduced subvariety T Ximes C Y , then f is induced by a morphism Xo Y .",lexical_candidate_only
analytic-space,159,label;chapter;text,,gaga-proposition-holomorphic-map-from-proper-is-regular,gaga.tex,1749,proposition,Chow's theorem and algebraicity,"egin proposition egin reference ite[ 4, no. 19, Proposition 15] GAGA Let X be a proper algebraic variety over C and let Y be an algebraic variety over C . Every holomorphic map f:X m an Y m an is the analytification of a unique morphism Xo Y .",lexical_candidate_only
analytic-space,139,chapter;section;text,,gaga-section-serre-analytic-spaces,gaga.tex,114,section,Serre complex analytic spaces,"Serre complex analytic spaces egin definition egin reference ite[ 1, no. 2, pp. 4--5] GAGA A complex analytic space in",lexical_candidate_only
analytic-space,138,chapter;section;text,,gaga-definition-analytic-subspace,gaga.tex,147,definition,Serre complex analytic spaces,"egin definition Let X be a Serre complex analytic space. A subset Y X is an analytic subspace if, in every analytic chart Vo U , the image of Yap V is an analytic subset of U . It has the induced analytic-space structure. When Y is closed in X , we call it a closed analytic subsp",lexical_candidate_only
analytic-space,138,chapter;section;text,,gaga-definition-serre-analytic-space,gaga.tex,117,definition,Serre complex analytic spaces,"egin definition egin reference ite[ 1, no. 2, pp. 4--5] GAGA A complex analytic space in the sense of Serre is a Hausdorff topological space X together with a subsheaf of C -algebras O X C X such that X has an open covering X=igcup V i for which every ringed space (V i, O X| V i ",lexical_candidate_only
analytic-space,138,chapter;section;text,,gaga-lemma-serre-analytic-subspaces-products,gaga.tex,156,lemma,Serre complex analytic spaces,"egin lemma egin reference ite[ 1, no. 2, p. 5] GAGA Let X and X' be Serre complex analytic spaces. egin enumerate Every analytic subspace of X is locally closed and the induced structure is independent of the chosen charts. There is a unique Serre complex analytic-space structure",lexical_candidate_only
analytic-space,117,chapter;section,,gaga-remark-serre-analytic-spaces-reduced,gaga.tex,137,remark,Serre complex analytic spaces,"egin remark [Reduced scope] Because O X is a subsheaf of a sheaf of functions, every O X,x is reduced. Thus Definition ef definition-serre-analytic-space is the reduced 1956 notion used by Serre. It does not include nilpotent analytic thickenings. Any later extension to nonreduce",lexical_candidate_only
analytic-space,115,label;text,,cohomology-lemma-equivariant-holomorphic-vector-bundle-extension-classes,cohomology.tex,20667,lemma,Cohomology with group actions,"egin lemma [Equivariant holomorphic bundle-extension classes] egin reference ite[Chapter V, 5.6, p. 219] Tohoku Let X be a complex analytic space on which a group G acts by analytic automorphisms. Let E and F be holomorphic vector bundles on X with compatible G -actions. Equivale",lexical_candidate_only
analytic-space,113,label;text,,cohomology-lemma-equivariant-holomorphic-vector-bundles-locally-free-modules,cohomology.tex,20555,lemma,Cohomology with group actions,"egin lemma [Equivariant holomorphic bundles and locally free modules] egin reference ite[Chapter V, 5.6, p. 219] Tohoku egin history This is the equivariant analytic bundle--module correspondence, not merely the algebraic definition of an equivariant module. It does not assert th",lexical_candidate_only
analytic-space,113,label;text,,cohomology-lemma-holomorphic-logarithmic-derivative-obstruction,cohomology.tex,2824,lemma,Flasque sheaves,"egin lemma [The holomorphic logarithmic-derivative obstruction] egin reference ite[Chapter III, 3.4, Remark 3, pp. 165--166] Tohoku egin history The affine formula below uses the left-torsor convention of Definition ef definition-torsor and the right logarithmic derivative (dg)g ",lexical_candidate_only
analytic-space,113,label;text,,cohomology-lemma-holomorphic-vector-bundles-locally-free-analytic-modules,cohomology.tex,20489,lemma,Cohomology with group actions,"egin lemma [Holomorphic bundles and locally free analytic modules] egin reference ite[Chapter V, 5.6, p. 219] Tohoku egin history This is the analytic bundle--module correspondence. It is separate from the scheme-theoretic vector-bundle construction and does not use GAGA. Let X b",lexical_candidate_only
