id,part,source_file,source_locator,authority_sha256,observation,adverse_evidence,proposed_smallest_correction,status
FIELDS-033,p01,fields.tex,fields.tex:1641-1648,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The permanence proof unconditionally sets the characteristic equal to p and uses p-powers.,Purely inseparable identity extensions are permitted in characteristic zero; then E=k and F=E and the assertion is trivial.,"Handle characteristic zero first, then assume the characteristic is a prime p for the p-power argument.",accepted_provisional_r6_MC-STK-ERR-0338_2026-08-22
FIELDS-034,p01,fields.tex,fields.tex:2367-2370,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The sentence reads 'Using this isomorphism we get for a K-algebra map'.,The following display is the regular-representation K-algebra map itself; 'for' leaves the sentence ungrammatical.,Delete 'for': 'we get a K-algebra map'.,accepted_provisional_r6_MC-STK-ERR-0339_2026-08-22
FIELDS-035,p01,fields.tex,fields.tex:3218-3227,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The Kummer paragraph permits a=0 but defines sigma(b)/b.,"When a=0, every root b is zero and the displayed quotient is undefined.",Require a in K^* (equivalently a nonzero).,accepted_provisional_r6_MC-STK-ERR-0340_2026-08-22
FIELDS-036,p01,fields.tex,fields.tex:2573-2574,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The phrase 'the characteristic polynomial of the linear maps alpha:L->L' uses a plural noun for one displayed map.,Only the multiplication map alpha:L->L is being named.,Replace 'maps' by singular 'map'.,accepted_provisional_r6_MC-STK-ERR-0341_2026-08-22
FIELDS-037,p01,fields.tex,fields.tex:3629-3645,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The warning calls the just-defined field-theoretic compositum a 'composition'.,The paragraph defines 'compositum' at line 3629 and repeats that noun at lines 3642 and 3645; 'composition' denotes a different operation.,Replace 'composition' by 'compositum' at line 3639.,accepted_provisional_r6_MC-STK-ERR-0342_2026-08-22
FIELDS-039,p01,fields.tex,fields.tex:1752-1763,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The proof says there is a unique map K->overline F in the purely inseparable case.,"The lemma counts Mor_F(K,overline F); many set maps exist, while exactly one F-embedding exists.",Specify a unique F-embedding.,accepted_provisional_r6_MC-STK-ERR-0343_2026-08-22
FIELDS-040,p01,fields.tex,fields.tex:1546-1550,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The equal-dimensional nonisomorphism is said merely to 'have a kernel'.,Every linear map has a kernel; the contradiction requires a nonzero kernel and coefficients not all zero.,Replace 'has a kernel' by 'has a nonzero kernel'.,accepted_provisional_r6_MC-STK-ERR-0344_2026-08-22
FIELDS-041,p01,fields.tex,fields.tex:1728-1746,87E07F0373DC60CFC284E2F19078BC9BC7AB0B89C40EEF83941F6C38C765C549,The separable and inseparable degrees of an arbitrary algebraic extension are each called 'The integer'.,Without a finiteness hypothesis these degrees may be infinite cardinals; line 1746 explicitly acknowledges infinite degrees.,Use 'The degree' in both definition items.,accepted_provisional_r6_MC-STK-ERR-0345_2026-08-22
CATEGORIES-065,p01,categories.tex,categories.tex:655-706;1071-1115,62F7611AF4C3FEEBD041DB4728B42C7112004CFBB9FA5ECB643C6F5D90DB3F25,"The binary coproduct definition calls the object an 'amalgamated sum', while the chapter later reserves pushout notation x amalgamated over y with z for the genuinely amalgamated construction.","Standard categorical usage distinguishes a binary coproduct (sum) from a pushout/amalgamated sum over a common source. Although the coproduct is a pushout over an initial object when one exists, no amalgamating object appears in lines 660-672; the later pushout definition does have one.","Canon accepted MC-STK-ERR-0396: replace the synonym at line 661 by 'sum', leaving 'amalgamated sum' for the pushout section; French reads 'coproduit, ou somme'.",accepted_as_MC-STK-ERR-0396_2026-08-22_and_emended_in_french_target
ALGEBRA-001,p01,algebra.tex,algebra.tex:31816-31827,FA8BB92E58A4F78A2BD01B3B6A4A87DE0A0D279F5DD90641B574DD5FBFFFA4F3,"Line 31824 orders $(I, \leq)$ although the active indexing set throughout the paragraph is $\Lambda$.",Lines 31816-31823 define the preorder on $\Lambda$ and lines 31825-31827 quantify over $\Lambda$ again; $I$ is not the active symbol.,At line 31824 replace $I$ by $\Lambda$.,provisionally_accepted_as_MC-STK-ERR-0399_R6_proof_intake_2026-08-23_unmaterialized_authority_unchanged_target_current_disposition_preserved
