unit_id,item,unit_type,parent_id,source_start,source_end,source_loc,authority_sha256,source_topics,topic_evidence_labels,topic_evidence_tags,decision_id,disposition,review_state,stacks_labels,stacks_tags,rationale
gaga:introduction,gaga:introduction,section,gaga,english_source_aligned_workpass/components/00_title_and_introduction.tex:13,english_source_aligned_workpass/components/00_title_and_introduction.tex:13,english_source_aligned_workpass/components/00_title_and_introduction.tex:13,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,structural_only,classified,,,Source structure; no independent Stacks object.
gaga:section:1,gaga:section:1,section,gaga,english_source_aligned_workpass/components/01_analytic_spaces.tex:1,english_source_aligned_workpass/components/01_analytic_spaces.tex:1,english_source_aligned_workpass/components/01_analytic_spaces.tex:1,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,structural_only,classified,,,Source structure; no independent Stacks object.
gaga:no:1,gaga:no:1,numbered_unit,gaga,english_source_aligned_workpass/components/01_analytic_spaces.tex:3,english_source_aligned_workpass/components/01_analytic_spaces.tex:3,english_source_aligned_workpass/components/01_analytic_spaces.tex:3,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:no:2,gaga:no:2,numbered_unit,gaga,english_source_aligned_workpass/components/01_analytic_spaces.tex:31,english_source_aligned_workpass/components/01_analytic_spaces.tex:31,english_source_aligned_workpass/components/01_analytic_spaces.tex:31,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:def:1,gaga:def:1,definition,gaga,english_source_aligned_workpass/components/01_analytic_spaces.tex:33,english_source_aligned_workpass/components/01_analytic_spaces.tex:33,english_source_aligned_workpass/components/01_analytic_spaces.tex:33,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:no:3,gaga:no:3,numbered_unit,gaga,english_source_aligned_workpass/components/01_analytic_spaces.tex:45,english_source_aligned_workpass/components/01_analytic_spaces.tex:45,english_source_aligned_workpass/components/01_analytic_spaces.tex:45,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:prop:1,gaga:prop:1,proposition,gaga,english_source_aligned_workpass/components/01_analytic_spaces.tex:51,english_source_aligned_workpass/components/01_analytic_spaces.tex:51,english_source_aligned_workpass/components/01_analytic_spaces.tex:51,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,coherent,coherent-section-coherent-sheaves;modules-section-coherent,01BU;01XY,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:no:4,gaga:no:4,numbered_unit,gaga,english_source_aligned_workpass/components/01_analytic_spaces.tex:59,english_source_aligned_workpass/components/01_analytic_spaces.tex:59,english_source_aligned_workpass/components/01_analytic_spaces.tex:59,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:section:2,gaga:section:2,section,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:1,english_source_aligned_workpass/components/02_associated_analytic_space.tex:1,english_source_aligned_workpass/components/02_associated_analytic_space.tex:1,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,structural_only,classified,,,Source structure; no independent Stacks object.
gaga:no:5,gaga:no:5,numbered_unit,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:5,english_source_aligned_workpass/components/02_associated_analytic_space.tex:5,english_source_aligned_workpass/components/02_associated_analytic_space.tex:5,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:lemma:1,gaga:lemma:1,lemma,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:lemma:1:item:a,gaga:lemma:1:item:a,subitem,gaga:lemma:1,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,structural_only,inherits_parent,,,Embedded source component; inherit the parent disposition.
gaga:lemma:1:item:b,gaga:lemma:1:item:b,subitem,gaga:lemma:1,english_source_aligned_workpass/components/02_associated_analytic_space.tex:11,english_source_aligned_workpass/components/02_associated_analytic_space.tex:11,english_source_aligned_workpass/components/02_associated_analytic_space.tex:11,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,structural_only,inherits_parent,,,Embedded source component; inherit the parent disposition.
gaga:lemma:1:item:c,gaga:lemma:1:item:c,subitem,gaga:lemma:1,english_source_aligned_workpass/components/02_associated_analytic_space.tex:13,english_source_aligned_workpass/components/02_associated_analytic_space.tex:13,english_source_aligned_workpass/components/02_associated_analytic_space.tex:13,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,structural_only,inherits_parent,,,Embedded source component; inherit the parent disposition.
gaga:lemma:1:item:d,gaga:lemma:1:item:d,subitem,gaga:lemma:1,english_source_aligned_workpass/components/02_associated_analytic_space.tex:15,english_source_aligned_workpass/components/02_associated_analytic_space.tex:15,english_source_aligned_workpass/components/02_associated_analytic_space.tex:15,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,structural_only,inherits_parent,,,Embedded source component; inherit the parent disposition.
gaga:prop:2,gaga:prop:2,proposition,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:27,english_source_aligned_workpass/components/02_associated_analytic_space.tex:27,english_source_aligned_workpass/components/02_associated_analytic_space.tex:27,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:no:6,gaga:no:6,numbered_unit,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:43,english_source_aligned_workpass/components/02_associated_analytic_space.tex:43,english_source_aligned_workpass/components/02_associated_analytic_space.tex:43,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:prop:3,gaga:prop:3,proposition,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:49,english_source_aligned_workpass/components/02_associated_analytic_space.tex:49,english_source_aligned_workpass/components/02_associated_analytic_space.tex:49,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:prop:4,gaga:prop:4,proposition,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:55,english_source_aligned_workpass/components/02_associated_analytic_space.tex:55,english_source_aligned_workpass/components/02_associated_analytic_space.tex:55,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:cor:1,gaga:cor:1,corollary,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:79,english_source_aligned_workpass/components/02_associated_analytic_space.tex:79,english_source_aligned_workpass/components/02_associated_analytic_space.tex:79,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytification;flatness,algebra-section-flat;etale-lemma-etale-analytification-local-isomorphism;pione-section-comparison-complex,00H9,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:cor:2,gaga:cor:2,corollary,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:83,english_source_aligned_workpass/components/02_associated_analytic_space.tex:83,english_source_aligned_workpass/components/02_associated_analytic_space.tex:83,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:cor:3,gaga:cor:3,corollary,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:89,english_source_aligned_workpass/components/02_associated_analytic_space.tex:89,english_source_aligned_workpass/components/02_associated_analytic_space.tex:89,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,analytic-space;analytification,etale-lemma-etale-analytification-local-isomorphism;pione-section-comparison-complex,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
gaga:no:7,gaga:no:7,numbered_unit,gaga,english_source_aligned_workpass/components/02_associated_analytic_space.tex:91,english_source_aligned_workpass/components/02_associated_analytic_space.tex:91,english_source_aligned_workpass/components/02_associated_analytic_space.tex:91,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
