canonical_defect_id,authority_sha256,source_file,source_locator,lease,classification,exact_source,proposed_correction,target_locator,disposition,rationale
SITES-COHOMOLOGY-001,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10957,D,prose_missing_subject,"Since $\text{Map}(-, A)$ is a contravariant functor, implies that","Since $\text{Map}(-, A)$ is a contravariant functor, it follows that",sites-cohomology.part-d.fr.tex:219,corrected_in_translation,"The finite clause lacks a grammatical subject; the intended implication is unambiguous."
SITES-COHOMOLOGY-002,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10967,D,wrong_derived_functor_side,"computes the left derived functors $H^n(\mathcal{C}, -)$ of $H^0(\mathcal{C}, -)$","computes the right derived functors $H^n(\mathcal{C}, -)$ of $H^0(\mathcal{C}, -)$",sites-cohomology.part-d.fr.tex:227,corrected_in_translation,"The displayed H^n are cohomological right derived functors; the immediately cited lemma is explicitly the right-derived delta-functor lemma."
SITES-COHOMOLOGY-003,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11047,D,direct_sum_changed_to_product_inside_hom,"\Hom(\prod j_{U_i!}\mathcal{O}_{U_i}, p_{U, *}A)","\Hom(\bigoplus j_{U_i!}\mathcal{O}_{U_i}, p_{U, *}A)",sites-cohomology.part-d.fr.tex:303,corrected_in_translation,"The short exact sequence at source lines 11028-11030 has middle term \bigoplus j_{U_i!}\mathcal{O}_{U_i}; applying Hom contravariantly does not replace that source object by a product inside Hom."
SITES-COHOMOLOGY-004,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11067,D,wrong_constant_simplicial_set,"This simplicial set is homotopy equivalent to the constant simplicial set on a singleton $\{*\}$","This simplicial set is homotopy equivalent to the constant simplicial set $\Mor_\mathcal{C}(U,U')$",sites-cohomology.part-d.fr.tex:323,corrected_in_translation,"The simplices are factorizations of every composite morphism U to U'; the augmentation lands in the discrete set \Mor_\mathcal{C}(U,U'), whose fibres are contractible. A singleton is correct only when that Hom-set has one element."
SITES-COHOMOLOGY-005,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11149,D,wrong_cohomological_index,"H^p(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U) \to H^b(M)(U)","H^b(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U) \to H^b(M)(U)",sites-cohomology.part-d.fr.tex:404,corrected_in_translation,"The lemma fixes the top nonzero cohomological degree b and seeks the base-change map for H^b; p is unbound in the statement and proof."
SITES-COHOMOLOGY-006,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11278,D,prose_typo,"For ever $U$ and $i$ let","For every $U$ and $i$ let",sites-cohomology.part-d.fr.tex:531,corrected_in_translation,"The quantifier is the ordinary English phrase for every; ever is a typographical omission of y."
SITES-COHOMOLOGY-007,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11286-11287,D,wrong_cardinal_bound,"Observe that $|\Omega^i_U| \leq |K|$ because $\mathcal{S}_n^i(U)$ is so bounded.","Observe that $|\Omega^i_U| \leq \max(\kappa,|K|)$ because $\mathcal{S}_n^i(U)$ is so bounded.",sites-cohomology.part-d.fr.tex:540,corrected_in_translation,"The induction only bounds every S_n by max(kappa,|K|); it does not bound S_n by |K| when the fixed construction cardinal kappa is larger."
SITES-COHOMOLOGY-008,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11290,D,missing_induction_subscript,"\mathcal{S}^i(U) \cup \Omega^i_U \subset \mathcal{F}^i(U)","\mathcal{S}_n^i(U) \cup \Omega^i_U \subset \mathcal{F}^i(U)",sites-cohomology.part-d.fr.tex:545,corrected_in_translation,"The construction is explicitly of S_{n+1} from S_n; an unsubscripted S is not defined in this paragraph and would not preserve the inductive chain."
SITES-COHOMOLOGY-009,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11447,D,prose_grammar,"with containing those subsets and such that","containing those subsets and such that",sites-cohomology.part-d.fr.tex:703,corrected_in_translation,"The preposition with cannot govern the present participle in this construction; the intended relative description of the subcomplex is unambiguous."
SITES-COHOMOLOGY-010,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11600,D,reversed_base_change_isomorphism,"H^i(M)(U) \to H^i(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U)","H^i(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U) \to H^i(M)(U)",sites-cohomology.part-d.fr.tex:862,corrected_in_translation,"The restriction map RΓ(V,M) to RΓ(U,M) and the cited characterization of quasi-coherence give the tensor base-change map from V to U, not a canonical arrow in the reverse direction."
SITES-COHOMOLOGY-011,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11601-11602,D,unbound_object_symbol,"R\Gamma(V, K) \otimes_{\mathcal{O}(V)}^\mathbf{L} \mathcal{O}(U) \to R\Gamma(U, K)","R\Gamma(V, M) \otimes_{\mathcal{O}(V)}^\mathbf{L} \mathcal{O}(U) \to R\Gamma(U, M)",sites-cohomology.part-d.fr.tex:864-865,corrected_in_translation,"This converse paragraph fixes M as its only derived object and concludes that M belongs to QC(O); K is not introduced in the paragraph."
