canonical_defect_id,authority_sha256,source_file,source_locator,lease,classification,exact_source,proposed_correction,target_locator,disposition,rationale
SITES-COHOMOLOGY-014,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:112,A,prose_character_substitution,"it the {\it $i$th cohomology group ...}","is the {\it $i$th cohomology group ...}",sites-cohomology.part-a.fr.tex:112,corrected_in_translation,"Canon replay identifies the minimal source repair as byte [3979,3980) t→s; the French « est le » was already semantically exact and is unchanged."
SITES-COHOMOLOGY-015,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:115,A,wrong_module_category,"\textit{Mod}(\mathcal{C}) \to \text{Mod}_{\Gamma(\mathcal{C}, \mathcal{O})}","\textit{Mod}(\mathcal{O}) \to \text{Mod}_{\Gamma(\mathcal{C}, \mathcal{O})}",sites-cohomology.part-a.fr.tex:115,corrected_in_translation,"The source category is the category of sheaves of O-modules, hence Mod(O), as fixed throughout the surrounding passage."
SITES-COHOMOLOGY-016,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:684,A,wrong_ambient_category,"a morphism of $\mathcal{O}$","a morphism of $\mathcal{C}$",sites-cohomology.part-a.fr.tex:685,corrected_in_translation,"U and V are objects of the site C; their arrow is a morphism of C, not a morphism of the structure sheaf O."
SITES-COHOMOLOGY-017,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:990,A,wrong_fibre_product_base,"\times_u U_{i_{p + 1}}","\times_U U_{i_{p + 1}}",sites-cohomology.part-a.fr.tex:991,corrected_in_translation,"Every factor in the Cech fibre product is taken over U; lowercase u is undefined and inconsistent with the adjacent factors."
SITES-COHOMOLOGY-018,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2087,A,reversed_surjection,"assume $K \to K'$ is a surjective map of sheaves","assume $K' \to K$ is a surjective map of sheaves",sites-cohomology.part-a.fr.tex:2067,corrected_in_translation,"The lemma's hypothesis and the singleton covering used next both have direction K' to K."
SITES-COHOMOLOGY-019,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:2161;sites-cohomology.tex:2164",A,undefined_symbols,"g^{-1}\mathcal{I}","\mathcal{F}","sites-cohomology.part-a.fr.tex:2142;sites-cohomology.part-a.fr.tex:2145",corrected_in_translation,"The lemma is about F and defines neither g nor I; its conclusion also uses F. Three occurrences in the two cited formulae are corrected."
SITES-COHOMOLOGY-020,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2189,A,prose_typo,"covering to $H^{p + q}(K, \mathcal{F})$","converging to $H^{p + q}(K, \mathcal{F})$",sites-cohomology.part-a.fr.tex:2170,corrected_in_translation,"A spectral sequence converges to its abutment; covering is an evident typographical substitution."
SITES-COHOMOLOGY-021,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2315,A,undefined_topos_index,"\mathcal{O}_\mathcal{X}","\mathcal{O}_\mathcal{C}",sites-cohomology.part-a.fr.tex:2292,corrected_in_translation,"X is undefined; the injective module lives on the source topos indexed by C."
SITES-COHOMOLOGY-022,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2361-2362,A,wrong_spectral_sequence_property,"conditions that force the Leray spectral sequence to converge","conditions that force the Leray spectral sequence to degenerate","sites-cohomology.part-a.fr.tex:2339-2340",corrected_in_translation,"Convergence was established by the preceding lemma; the stated vanishing conditions force degeneration."
SITES-COHOMOLOGY-023,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:2420;sites-cohomology.tex:2423;sites-cohomology.tex:2424",A,prose_typos,"an representative; It preserved; as indicated we indicate","a representative; It preserves; as indicated we denote",sites-cohomology.part-a.fr.tex:2398-2402,corrected_in_translation,"Canon replay preserves finite verbs in all three repairs; the existing French « d'un représentant », « Il préserve », and « comme annoncé, nous notons » is already exact and is unchanged."
