defect_id,lease,local_id,authority_file,authority_sha256,source_locator,classification,exact_source,proposed_correction,target_file,target_locator,disposition,rationale,source_packet,source_packet_sha256
SITES-MODULES-CH18-001,A,SITES-MODULES-001,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1649,wrong_membership,It maps a section s in u(U),It maps a section s in G(u(U)),sites-modules.part-a.fr.tex,1604,emended_in_french,The colimit summand is G(u(U)); u(U) is an object of D rather than a set of sections.,p03/evidence/SITES_MODULES_A_SOURCE_DEFECT_LEDGER.csv,F35CC99A7B04BBBE982CD73B583702A69C537D175076F18489B460C4EF8126AA
SITES-MODULES-CH18-002,A,SITES-MODULES-002,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1732,unbalanced_parenthesis,g_{p!}F(u(U) = F(U),g_{p!}F(u(U)) = F(U),sites-modules.part-a.fr.tex,1681,emended_in_french,The function application opened at u(U) lacks its closing parenthesis; the surrounding equalities require evaluation at u(U).,p03/evidence/SITES_MODULES_A_SOURCE_DEFECT_LEDGER.csv,F35CC99A7B04BBBE982CD73B583702A69C537D175076F18489B460C4EF8126AA
SITES-MODULES-CH18-003,A,SITES-MODULES-003,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1957-1962,unbound_variable,"Given an O_D-module G: P(D,O_D,F) implies P(C,O_C,f^*F)","Given an O_D-module G: P(D,O_D,G) implies P(C,O_C,f^*G)",sites-modules.part-a.fr.tex,1897-1903,emended_in_french,"F is not bound in item (3); the pullback functor has domain Mod(O_D), so both occurrences must be G.",p03/evidence/SITES_MODULES_A_SOURCE_DEFECT_LEDGER.csv,F35CC99A7B04BBBE982CD73B583702A69C537D175076F18489B460C4EF8126AA
SITES-MODULES-CH18-004,B,SITES-MODULES-B-D002,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2258-2259,wrong_localized_site,"the object $V/U$ of the ringed site $(\mathcal{C}/V, \mathcal{O}_V)$","the object $V/U$ of the ringed site $(\mathcal{C}/U, \mathcal{O}_U)$",,,"$V/U$ est un objet de $\mathcal{C}/U$, et la flèche affichée va de la localisation en $V/U$ vers $\mathcal{C}/U$; source préservée en attente de disposition canonique.",,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
SITES-MODULES-CH18-005,B,SITES-MODULES-B-D003,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2278,undefined_ring_subscript,\textit{Mod}(\mathcal{O}_\mathcal{C}),\textit{Mod}(\mathcal{O}),,,"Le site est introduit comme $(\mathcal{C},\mathcal{O})$ et le diagramme analogue suivant emploie $\mathcal{O}$; notation source préservée.",,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
SITES-MODULES-CH18-006,B,SITES-MODULES-B-D004,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2469,wrong_structure_sheaf_index,"(\Sh(\mathcal{D}/V), \mathcal{O}'_{V'})","(\Sh(\mathcal{D}/V), \mathcal{O}'_V)",,,Le sommet cible est localisé en $V$ et la flèche est $j_{V'/V}$; formule source préservée.,,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
SITES-MODULES-CH18-007,B,SITES-MODULES-B-D005,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2823,wrong_morphism_subscript,"\ar[d]_{(f_c, f_c^\sharp)}","\ar[d]_{(f_s, f_s^\sharp)}",,,"Le lemme n'introduit que $s$ et nomme le morphisme $(f_s,f_s^\sharp)$ à la ligne 2831; formule source préservée.",,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
SITES-MODULES-CH18-008,B,SITES-MODULES-B-D006,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2872,wrong_structure_sheaf_index,"(\Sh(\mathcal{D})/\mathcal{G}, \mathcal{O}'_{\mathcal{G}'})","(\Sh(\mathcal{D})/\mathcal{G}, \mathcal{O}'_\mathcal{G})",,,"Le sommet cible est la localisation en $\mathcal{G}$, tandis que le sommet source est celui en $\mathcal{G}'$; formule source préservée.",,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
SITES-MODULES-CH18-009,B,SITES-MODULES-B-D001,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2962,typographical_word_substitution,Given $r \geq 0$ we sat $\mathcal{F}$ is,Given $r \geq 0$ we say $\mathcal{F}$ is,,,Le français rend la phrase comme une définition normale; aucune formule ni aucun octet de l'autorité n'a été modifié.,,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
SITES-MODULES-CH18-010,B,SITES-MODULES-B-D007,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4101,missing_noun,Let $\mathcal{G}$ be an abelian on $\mathcal{C}$.,Let $\mathcal{G}$ be an abelian sheaf on $\mathcal{C}$.,,,Le contexte et les Hom suivants exigent un faisceau abélien; le français restitue le nom manquant sans modifier l'autorité.,,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
SITES-MODULES-CH18-011,C,SITES-MODULES-C-D004,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4624,undefined_and_wrong_tensor_factor,\mathcal{G} \otimes_{\mathcal{O}_1} \mathcal{F},\mathcal{G} \otimes_{\mathcal{O}_1} \mathcal{H},,sites-modules.part-c.fr.tex:430,emended_in_french,"The left side is (G tensor O_2) tensor H; associativity gives G tensor H, and F is undefined in this lemma.",p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-012,C,SITES-MODULES-C-D005,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4711,wrong_covering_target,\{U_{ij} \to U_j\},\{U_{ij} \to U_i\},,sites-modules.part-c.fr.tex:525,emended_in_french,The induction hypothesis is applied over U_i and the following restrictions and composite covering require U_ij -> U_i.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-013,C,SITES-MODULES-C-D006,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4720,undefined_factorization_index,$C_i \circ B_i|_{U_{ij}} \circ A|_{U_{ij}} = 0$,$C_{ij} \circ B_i|_{U_{ij}} \circ A|_{U_{ij}} = 0$,,sites-modules.part-c.fr.tex:534,emended_in_french,The preceding display defines C_ij; no C_i is defined in this induction step.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-014,C,SITES-MODULES-C-D007,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4723,undefined_factorization_index,$B_{ij} = C_i \circ B_i|_{U_{ij}}$,$B_{ij} = C_{ij} \circ B_i|_{U_{ij}}$,,sites-modules.part-c.fr.tex:536,emended_in_french,The desired factorization composes B_i with the just-defined C_ij.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-015,C,SITES-MODULES-C-D001,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5616,wrong_category_for_object,$V \in \Ob(\mathcal{C})$,$V \in \Ob(\mathcal{D})$,,sites-modules.part-c.fr.tex:1500,emended_in_french,u has domain D; the next lines form O_V and D/V.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-016,C,SITES-MODULES-C-D002,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5649,wrong_free_rank_in_hom_diagram,f^*\mathcal{G}^{\oplus n} \ar[d] \\,f^*\mathcal{G}^{\oplus m} \ar[d] \\,,sites-modules.part-c.fr.tex:1531,emended_in_french,"The presentation O_D^m -> O_D^n -> F gives Hom(F,G) -> G^n -> G^m.",p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
