lease,local_id,canonical_id,canonical_operation_id,authority_sha256,source_locator,record_kind,source_packet,packet_sha256
A,SITES-MODULES-001,SITES-MODULES-CH18-001,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1649,defect,p03/evidence/SITES_MODULES_A_SOURCE_DEFECT_LEDGER.csv,F35CC99A7B04BBBE982CD73B583702A69C537D175076F18489B460C4EF8126AA
A,SITES-MODULES-001,SITES-MODULES-CH18-001,SITES-MODULES-CH18-001,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1649,emendation_operation,p03/evidence/SITES_MODULES_A_SOURCE_EMENDATIONS.json,B9959221A52E162228CAD32DBD0B89FED5C215D0E3CECA6CD5E0A52C00AC46A3
A,SITES-MODULES-002,SITES-MODULES-CH18-002,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1732,defect,p03/evidence/SITES_MODULES_A_SOURCE_DEFECT_LEDGER.csv,F35CC99A7B04BBBE982CD73B583702A69C537D175076F18489B460C4EF8126AA
A,SITES-MODULES-002,SITES-MODULES-CH18-002,SITES-MODULES-CH18-002,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1732,emendation_operation,p03/evidence/SITES_MODULES_A_SOURCE_EMENDATIONS.json,B9959221A52E162228CAD32DBD0B89FED5C215D0E3CECA6CD5E0A52C00AC46A3
A,SITES-MODULES-003,SITES-MODULES-CH18-003,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1957-1962,defect,p03/evidence/SITES_MODULES_A_SOURCE_DEFECT_LEDGER.csv,F35CC99A7B04BBBE982CD73B583702A69C537D175076F18489B460C4EF8126AA
A,SITES-MODULES-003A,SITES-MODULES-CH18-003,SITES-MODULES-CH18-003A,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1960,emendation_operation,p03/evidence/SITES_MODULES_A_SOURCE_EMENDATIONS.json,B9959221A52E162228CAD32DBD0B89FED5C215D0E3CECA6CD5E0A52C00AC46A3
A,SITES-MODULES-003B,SITES-MODULES-CH18-003,SITES-MODULES-CH18-003B,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:1962,emendation_operation,p03/evidence/SITES_MODULES_A_SOURCE_EMENDATIONS.json,B9959221A52E162228CAD32DBD0B89FED5C215D0E3CECA6CD5E0A52C00AC46A3
B,SITES-MODULES-B-D002,SITES-MODULES-CH18-004,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2258-2259,defect,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
B,SITES-MODULES-B-D003,SITES-MODULES-CH18-005,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2278,defect,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
B,SITES-MODULES-B-D004,SITES-MODULES-CH18-006,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2469,defect,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
