defect_id,authority_sha256,source_line,source_locator,exact_source,classification,correction,disposition,note,lease,source_evidence_file
MODULES-012,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,1131,modules.tex:1131; label lemma-construct-quasi-coherent-sheaves,"Let $(X, \mathcal{O}_X)$ be ringed space.",missing_indefinite_article,"Let $(X, \mathcal{O}_X)$ be a ringed space.",Rendered idiomatically as « un espace annelé »; no mathematical source emendation is needed.,Prose-only normalization; see disposition.,A,MODULES_A_SOURCE_DEFECTS.csv
MODULES-013,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,1152,modules.tex:1152-1154; label lemma-construct-quasi-coherent-sheaves,Here the map on the component $\mathcal{O}_X$ corresponding to $j \in J$ given by the section $\sum_i \alpha(r_{ij})$ where the $r_{ij}$ are the matrix coefficients of the map in the presentation of $M$.,missing_finite_verb,Here the map on the component $\mathcal{O}_X$ corresponding to $j \in J$ is given by the section $\sum_i \alpha(r_{ij})$ where the $r_{ij}$ are the matrix coefficients of the map in the presentation of $M$.,Rendered with « est donnée »; no mathematical source emendation is needed.,Prose-only normalization; see disposition.,A,MODULES_A_SOURCE_DEFECTS.csv
MODULES-014,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,2169,modules.tex:2169; label lemma-map-finite-locally-free,"as an $\Gamma(U, \mathcal{O}_U)$-module we may",article_and_number_agreement,"as $\Gamma(U, \mathcal{O}_U)$-modules we may","Rendered idiomatically as « comme $\Gamma(U, \mathcal{O}_U)$-modules »; no mathematical source emendation is needed.",Prose-only normalization; see disposition.,B,MODULES_B_SOURCE_DEFECTS.csv
MODULES-008,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,4093,modules.tex:4093; lemma-invertible,"$U$ an integer $n \geq 1$ and sections $s_i \in \mathcal{L}(U)$,",source_defect,"$U$ of $x$, an integer $n \geq 1$ and sections $s_i \in \mathcal{L}(U)$,",emended-in-memory,"The neighbourhood lacks the phrase identifying it as a neighbourhood of x, and the following noun phrase lacks a separator.",C,MODULES_C_SOURCE_DEFECTS.csv
MODULES-009,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,4182,modules.tex:4182; lemma-invertible-is-locally-free-rank-1,"Looking over an open covering trivialization $\mathcal{L}$, we see",source_defect,"Looking over an open covering trivializing $\mathcal{L}$, we see",emended-in-memory,The participial phrase is ungrammatical: the covering trivializes the module.,C,MODULES_C_SOURCE_DEFECTS.csv
MODULES-010,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,4337,modules.tex:4337; lemma-pic-set,"$\mathcal{U} : X = \bigcup_{j \in J} U_i$ where $J \to \mathcal{P}(X)$,",source_defect,"$\mathcal{U} : X = \bigcup_{j \in J} U_j$ where $J \to \mathcal{P}(X)$,",emended-in-memory,The bound index is j but the summand is written U_i; the following map also uses U_j.,C,MODULES_C_SOURCE_DEFECTS.csv
MODULES-011,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,4362,modules.tex:4362; lemma-s-open,A (local) trivialisation of a linebundle,source_defect,A (local) trivialisation of a line bundle,emended-in-memory,The standard English compound is two words.,C,MODULES_C_SOURCE_DEFECTS.csv
MODULES-001,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,4629,modules.tex:4629,section of $\mathcal{O}_X$.,mathematical,section of $\mathcal{S}^{-1}\mathcal{O}_X$.,emended_in_french,The localization map lands in $\mathcal{S}^{-1}\mathcal{O}_X$; the source codomain contradicts the construction.,D,MODULES_D_SOURCE_DEFECTS.csv
MODULES-002,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,5179,modules.tex:5179,is an is an $\mathcal{O}_1$-linear map,typographical,is an $\mathcal{O}_1$-linear map,normalized_in_translation,Duplicated words.,D,MODULES_D_SOURCE_DEFECTS.csv
MODULES-003,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,5263,modules.tex:5263,[m + m' - [m] - [m'],mathematical,[m + m'] - [m] - [m'],emended_in_french,Missing closing bracket makes the additivity relation malformed.,D,MODULES_D_SOURCE_DEFECTS.csv
MODULES-004,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,5709,modules.tex:5709,a sheaves of sets,grammatical,a sheaf of sets,normalized_in_translation,Number-agreement error; intended singular sheaf.,D,MODULES_D_SOURCE_DEFECTS.csv
MODULES-005,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,5748,modules.tex:5748,these maps are quasi-isomorphism,grammatical,these maps are quasi-isomorphisms,normalized_in_translation,Plural predicate requires quasi-isomorphisms.,D,MODULES_D_SOURCE_DEFECTS.csv
MODULES-006,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,5895,modules.tex:5895,$(g \circ g')^*\NL_{X''/Y''} \to \NL_{X/Y}$,mathematical,$(g \circ g')^*\NL_{X/Y} \to \NL_{X''/Y''}$,emended_in_french,The displayed composite functoriality has source and target complexes reversed.,D,MODULES_D_SOURCE_DEFECTS.csv
MODULES-007,7BD3E9E096717EF6FD458492D8AD91FC9FFE428CFD7DD80E386FAE377BB7CB0D,5921,modules.tex:5921,maps of sheaves rings,grammatical,maps of sheaves of rings,normalized_in_translation,Missing preposition: maps of sheaves of rings.,D,MODULES_D_SOURCE_DEFECTS.csv
