tex,pdf,pages,bytes,sha256,overfull,underfull,changed_line_box_overlap,status
bootstrap.tex,bootstrap.pdf,26,538642,7667B4DFC868E7A0053742707CBE804E435E153165BDB83F89AA57BD0E2F290D,3,0,0,PASS
categories.tex,categories.pdf,105,1072140,65B92E011376C97AF2EA1A72D02709E1D78B6D6054033FD33D6B24DDB53EE004,4,0,0,PASS
coherent.tex,coherent.pdf,80,988401,E7752B0518298893E746D825B2B5242021D5B2B402468C19C24AB18AE78FDA3C,1,0,0,PASS
cohomology.tex,cohomology.pdf,137,1287054,8E00F676C34F8E3D2F798BEC997CD7930EB53049B4DE2BDE66160A93B855C72C,34,2,0,PASS
constructions.tex,constructions.pdf,51,791277,FC468E4C5C9B1C1EC4455C3282BFC330C820D7B1982C9C771EF3A58D70E7DDF7,0,0,0,PASS
cotangent.tex,cotangent.pdf,47,698733,FA50C875083566840EF6E57966CDEAED7CC729E056886521047CF4768F38CB90,4,0,0,PASS
criteria.tex,criteria.pdf,37,669499,6AA71FE1156F58926ABBDF15E238F2ECEA390231D8BEED8D5BEDA8102C953C68,2,0,0,PASS
defos.tex,defos.pdf,58,749398,BDDC3EB48CB5332F590F4E7AB342E22DC9B5F57E63537AD8AF8C7F013ADC6198,11,0,0,PASS
derham.tex,derham.pdf,70,906372,C09A9B8F5A655ACD8EFF20F49C3BCFEEE28A2CA5F800EEE0F0ACDD7C2DDF7660,11,0,0,PASS
descent.tex,descent.pdf,105,1202472,48D6B0CAF147335E7CA19523599ADCF58FD362AAF8916550370BA91FDB67010A,19,1,0,PASS
divisors.tex,divisors.pdf,95,1105174,62F1CD5808C484CB122D3C0C23FD8A03CCFD917FC31E3D474B984DE60C84A5B0,6,1,0,PASS
duality.tex,duality.pdf,98,1184604,06DF19943570C71920EBF6F1FB2384774EA818673EBFFA349963E23D3462F7AF,25,2,0,PASS
etale.tex,etale.pdf,31,564775,E2F2E740F73D100BDCDDCD6F08F57919EE6FF4E2688B1DA474732F3160A0F126,0,0,0,PASS
examples-defos.tex,examples-defos.pdf,43,730593,D149273BE3D51FAD321912E3517E4256F4BD7D5E132F0622011B06DC1ED50733,6,0,0,PASS
examples.tex,examples.pdf,81,1008421,D123755A5670047BCCD4FC03CC132E9D3F1FE02EFCDA1556A74D4D7016241112,7,2,0,PASS
formal-defos.tex,formal-defos.pdf,78,943297,4B6A05D6232F735B8A30A950B672EDEDB2D3D4ED14F61284D67E520A1C33DB8F,4,1,0,PASS
groupoids.tex,groupoids.pdf,60,804189,F29F5DB29D1AAA3E7CAC18D6A427ADA135E329D0537AB038EF1EEEE2DD8A6794,3,1,0,PASS
moduli.tex,moduli.pdf,83,941995,1FD6166FDC936BEA37CDEB99B844A67EB6E150F62FF17A5AE008E14579867705,0,1,0,PASS
more-morphisms.tex,more-morphisms.pdf,260,2402946,D834BB8302EF7470DD3C40251727128EA0897E0A5AB4099A230CAB9F44A9517F,22,2,0,PASS
pic.tex,pic.pdf,19,505657,86F6678EA2B9CBD13C35F92511549B9B54B0CD3AE08BBCB5774E01065171558E,1,0,0,PASS
pione.tex,pione.pdf,90,1075243,2E09F6A34C2E3F4197F153CD81249E5835F2CDE85E3963D7689EC55C60F03A12,2,1,0,PASS
quot.tex,quot.pdf,62,860280,E4314B7664AD24A3ACD707AA3F44CF88559A945327B5B0BADB734A7DA06522B9,9,1,0,PASS
simplicial.tex,simplicial.pdf,72,804781,C2A7C7B54AC31374E365701145B8EC1E5B338DE13EBD37279E40A1F1B1398747,2,1,0,PASS
spaces-more-groupoids.tex,spaces-more-groupoids.pdf,29,569621,A76B74B853A2601B995E764D1CD96289080075FC517539AED9B6B877091A638F,1,0,0,PASS
spaces-properties.tex,spaces-properties.pdf,63,837198,5E4BEA2B0371E72B28FA1FB6EA5EE37BF731D519D8E582A6CEE3444EAB5555B3,7,1,0,PASS
stacks-more-morphisms.tex,stacks-more-morphisms.pdf,55,766157,5BBA160C5D75DE9337677C7B5AA73EC7A1E4961C43103AE63756FEF86F6892B4,3,0,0,PASS
