topic_id,score,hit_fields,tag,full_label,file,line,kind,section_title,snippet,status
coherent-sheaf,183,label;section;text,01BE,modules-definition-quasi-coherent,modules.tex,1021,definition,Quasi-coherent modules,"egin definition Let (X, O X) be a ringed space. Let F be a sheaf of O X -modules. We say that F is a quasi-coherent sheaf of O X -modules if for every point x X there exists an open neighbourhood x U X such that F | U is isomorphic to the cokernel of a map igoplus j J O U igoplus",lexical_candidate_only
coherent-sheaf,183,label;section;text,01BJ,modules-lemma-restrict-quasi-coherent,modules.tex,1217,lemma,Quasi-coherent modules,"egin lemma Let (X, O X) be a ringed space. Set R = (X, O X) . Let M be an R -module. Let F M be the quasi-coherent sheaf of O X -modules associated to M . If g : (Y, O Y) o (X, O X) is a morphism of ringed spaces, then g * F M is the sheaf associated to the (Y, O Y) -module (Y, O",lexical_candidate_only
coherent-sheaf,183,label;section;text,01BU,modules-section-coherent,modules.tex,1563,section,Coherent modules,Coherent modules A reference for this section is ite FAC . The category of coherent sheaves on a ringed space X is a more reasonable object than the category,lexical_candidate_only
coherent-sheaf,183,label;section;text,01BD,modules-section-quasi-coherent,modules.tex,1007,section,Quasi-coherent modules,"Quasi-coherent modules In this section we introduce an abstract notion of quasi-coherent O X -module. This notion is very useful in algebraic geometry, since quasi-cohere",lexical_candidate_only
coherent-sheaf,162,label;section,01BV,modules-definition-coherent,modules.tex,1578,definition,Coherent modules,"egin definition Let (X, O X) be a ringed space. Let F be a sheaf of O X -modules. We say that F is a coherent O X -module if the following two conditions hold: egin enumerate F is of finite type, and for every open U X and every finite collection s i F (U) , i = 1, , n the kernel",lexical_candidate_only
coherent-sheaf,162,label;section,01BL,modules-example-quasi-coherent,modules.tex,1316,example,Quasi-coherent modules,"egin example Let X be countably many copies L 1, L 2, L 3, of the real line all glued together at 0 ; a fundamental system of neighbourhoods of 0 being the collection \ U n\ n N , with U n ap L i = (-1/n, 1/n) . Let O X be the sheaf of continuous real valued functions. Let f : R ",lexical_candidate_only
coherent-sheaf,162,label;section,01BF,modules-lemma-direct-sum-quasi-coherent,modules.tex,1067,lemma,Quasi-coherent modules,"egin lemma Let (X, O X) be a ringed space. The direct sum of two quasi-coherent O X -modules is a quasi-coherent O X -module.",lexical_candidate_only
coherent-sheaf,162,label;section,01BG,modules-lemma-pullback-quasi-coherent,modules.tex,1086,lemma,Quasi-coherent modules,"egin lemma Let f : (X, O X) o (Y, O Y) be a morphism of ringed spaces. The pullback f * G of a quasi-coherent O Y -module is quasi-coherent.",lexical_candidate_only
coherent-sheaf,94,section;text,078C,examples-section-push-quasi-coherent,examples.tex,2242,section,Pushforward of quasi-coherent modules,"Pushforward of quasi-coherent modules In Schemes, Lemma ef schemes-lemma-push-forward-quasi-coherent we proved that f * transforms quasi-coherent modules into quasi-coherent modules when",lexical_candidate_only
coherent-sheaf,94,section;text,07UU,spaces-cohomology-section-limits,spaces-cohomology.tex,2637,section,Limits of coherent modules,Limits of coherent modules A colimit of coherent modules (on a locally Noetherian algebraic space) is typically not coherent. But it is quasi-coherent as any colimit of quasi-coherent modules o,lexical_candidate_only
