topic_id,label,coverage,confidence,evidence_labels,evidence_tags,rationale,review_state
coherent-sheaf,Coherent sheaf,direct,high,modules-section-coherent;coherent-section-coherent-sheaves,01BU;01XY,Dedicated definitions and Noetherian scheme theory are present.,topic_scope_reviewed
ext-functor,Ext functor,direct,high,derived-section-ext;cohomology-section-ext,06XP;0BQP,Derived Ext and Ext sheaves have dedicated sections.,topic_scope_reviewed
local-cohomology,Local cohomology,direct,high,local-cohomology-section-generalities;dualizing-section-local-cohomology,0DWQ;0952,Local cohomology has dedicated ring and scheme infrastructure.,topic_scope_reviewed
duality,Duality,direct,high,duality-section-duality;duality-section-duality-proper-over-field,0AU3;0FVU,Modern derived duality and proper-over-field duality are present.,topic_scope_reviewed
dualizing-sheaf,Dualizing sheaf,direct,high,duality-section-dualizing-module;dualizing-section-dualizing-module,0AWH;0DW3,Dualizing modules occur in both ring and scheme treatments.,topic_scope_reviewed
fundamental-class,Fundamental class,direct,high,duality-lemma-fundamental-class-lci;derham-lemma-gysin-global;derham-lemma-duality-hodge,0E9Z;0G86;0FW4,The FGA Ext orientation Hodge Gysin class and top pairing have been compared with and mapped to the exact lci fundamental-class and Hodge-duality results.,topic_scope_reviewed
poincare-duality,Poincare duality,direct,high,derham-lemma-duality-hodge;perfect-lemma-kunneth;derham-lemma-gysin-projection-global;weil-lemma-poincare-duality,0FW4;0FLQ;0G8C;0FIJ,The FGA Hodge pairing Kunneth and correspondence statements have been compared with the exact de Rham and Weil-cohomology duality results.,topic_scope_reviewed
formal-geometry,Formal geometry,direct,high,formal-spaces-section-formal-schemes-EGA;algebraization-section-introduction;moduli-remark-picard-formal-neighbourhoods-lefschetz,0AHY;0EI6,Formal spaces algebraization and the Picard spaces of infinitesimal hyperplane neighbourhoods supply a modern treatment.,topic_scope_reviewed
formal-scheme,Formal scheme,direct,high,formal-spaces-section-formal-schemes-EGA,0AHY,EGA-style formal schemes have a dedicated section.,topic_scope_reviewed
formal-completion,Formal completion,direct,high,formal-spaces-section-completion;coherent-section-coherent-formal,0AIX;0EHN,Completion and coherent formal modules are both present.,topic_scope_reviewed
algebraization,Algebraization,direct,high,coherent-section-algebraization;algebraization-section-algebraization-modules,0898;0DXS,Grothendieck algebraization and coherent formal modules are present.,topic_scope_reviewed
existence-theorem,Existence theorem,direct,high,coherent-section-existence;coherent-section-existence-proper,087V;0886,Grothendieck existence has dedicated sections.,topic_scope_reviewed
descent,Descent,direct,high,descent-section-introduction;descent-section-fpqc-descent-quasi-coherent;moduli-proposition-picard-closed-union-affine;moduli-theorem-picard-pullback-proper-surjective-affine,0239;023R,General fpqc descent is supplemented by the closed-union and proper-surjective Picard comparison theorems.,topic_scope_reviewed
faithfully-flat,Faithfully flat,direct,high,descent-section-fpqc-descent-quasi-coherent,023R,Fpqc descent of quasi-coherent sheaves is explicit.,topic_scope_reviewed
descent-datum,Descent datum,direct,high,descent-section-descent-datum;descent-section-equivalence,023U;023A,Definitions for schemes and quasi-coherent sheaves are explicit.,topic_scope_reviewed
effectivity,Effectivity,direct,high,descent-definition-effective;descent-section-descent-datum,023Z;023U,Effective descent data are explicitly defined and studied.,topic_scope_reviewed
quotient,Quotient,direct,high,groupoids-quotients-section-categorical;groupoids-quotients-section-geometric;groupoids-section-finite-flat-general;moduli-remark-classical-positive-divisor-quotient,048I;04AD;03JD,Categorical and geometric quotients are present and the classical proper-flat divisor quotient is recorded with its scheme-output boundary.,topic_scope_reviewed
equivalence-relation,Equivalence relation,direct,high,spaces-section-spaces-from-equivalence-relations;groupoids-section-groupoids;moduli-lemma-positive-divisor-cover,0264;0230,Algebraic spaces and groupoids encode equivalence relations while the positive-divisor relation gives the FGA projective-flat instance.,topic_scope_reviewed
representability,Representability,broad,high,categories-section-representable;algebraic-section-representable-by-algebraic-spaces,0AHM;02ZV,Modern representability infrastructure is much broader than the historical usage.,topic_scope_reviewed
weil-restriction,Weil restriction,direct,high,criteria-section-restriction-of-scalars;moduli-proposition-sections-proper-flat;moduli-proposition-picard-stein-restriction,05Y8,Finite restriction of scalars section spaces over a proper flat source and the Picard scheme across a finite Stein factor are represented in the appropriate category.,topic_scope_reviewed
section-functor,Section functor,direct,high,moduli-proposition-sections-proper-flat;moduli-remark-sections-proper-field-quasi-projective,,Proper-flat section functors have a general algebraic-space theorem with closed affine vector-bundle and field-valued quasi-projective refinements.,topic_scope_reviewed
hilbert-functor,Hilbert functor,direct,high,quot-section-hilb;moduli-section-hilb;moduli-lemma-divisors-open-in-hilbert;moduli-section-zero-cycles,0CZX;0DM5,The general Hilbert functor includes the open relative-divisor locus and its finite-flat zero-cycle specialization.,topic_scope_reviewed
