unit_id,item,unit_type,parent_id,source_start,source_end,fr_loc,en_loc,authority_sha256,fga_topics,topic_evidence_labels,topic_evidence_tags,decision_id,disposition,review_state,stacks_labels,stacks_tags,rationale
fga.149,149,expose,fga,169,193,fr/149.tex:1,en/149.tex:1,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,coherent-sheaf;cohomology;duality;ext-functor;fundamental-class;local-cohomology;normality;picard-scheme;poincare-duality;projectivity;properness;quotient;smoothness,coherent-section-coherent-sheaves;cohomology-section-cech-cohomology-cohomology;cohomology-section-ext;derham-section-poincare-duality;derived-section-ext;duality-section-duality;duality-section-duality-proper-over-field;duality-section-fundamental-class;dualizing-section-local-cohomology;groupoids-quotients-section-categorical;groupoids-quotients-section-geometric;groupoids-section-finite-flat-general;local-cohomology-section-generalities;modules-section-coherent;more-morphisms-section-normal;morphisms-section-projective;morphisms-section-proper;morphisms-section-smooth;pic-section-picard-curve;pic-section-representability;properties-section-normal;weil-lemma-poincare-duality,01BU;01EO;01V4;01W0;01W7;01XY;033H;038Z;03JD;048I;04AD;06XP;0952;0AU3;0B9P;0B9R;0BQP;0DWQ;0E9X;0FIJ;0FVU;0FW3,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p169,149,source_page,fga.149,169,169,fr/149.tex:3,en/149.tex:3,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p170,149,source_page,fga.149,170,170,fr/149.tex:64,en/149.tex:63,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p171,149,source_page,fga.149,171,171,fr/149.tex:123,en/149.tex:121,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p172,149,source_page,fga.149,172,172,fr/149.tex:182,en/149.tex:178,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p173,149,source_page,fga.149,173,173,fr/149.tex:235,en/149.tex:232,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p174,149,source_page,fga.149,174,174,fr/149.tex:295,en/149.tex:292,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p175,149,source_page,fga.149,175,175,fr/149.tex:360,en/149.tex:354,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p176,149,source_page,fga.149,176,176,fr/149.tex:415,en/149.tex:409,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
fga.149.p177,149,source_page,fga.149,177,177,fr/149.tex:470,en/149.tex:465,A79DF2F391804457A13AE7B05587AAFE070D56F28D4D9115291939C72B06D34C,,,,,structural_only,classified,,,Source or corpus structure; no independent Stacks object.
