tag,full_label,file,line,kind,short_label,chapter,section_label,section_title,text_sha256
06Z1,adequate-section-phantom,adequate.tex,13,section,section-phantom,Adequate Modules,,,352A46A4C87AA07735E10BD2E56605B9C3E427454567286AB5DA1EA66375E86B
06Z2,adequate-section-introduction,adequate.tex,18,section,section-introduction,Adequate Modules,section-introduction,Introduction,27B62637402DA6E4F5E629842493765D32331DD4A72CC7642DC2366432621CA5
06Z3,adequate-section-conventions,adequate.tex,72,section,section-conventions,Adequate Modules,section-conventions,Conventions,975B96979DCD701ADE4624D1D7ADC9AB21AFA69CFAED440B1F80BF8BAA140868
06US,adequate-section-quasi-coherent,adequate.tex,104,section,section-quasi-coherent,Adequate Modules,section-quasi-coherent,Adequate functors,091C311FEFFDB25E997C7398F779153906842B447DDF889215E346F4F2E9426C
06Z4,adequate-definition-module-valued-functor,adequate.tex,112,definition,definition-module-valued-functor,Adequate Modules,section-quasi-coherent,Adequate functors,1E28EB9AD3D025C29A9CFDE9802D04DD125645EEEABE2DA82D7D30756E5893B0
06UT,adequate-definition-adequate-functor,adequate.tex,162,definition,definition-adequate-functor,Adequate Modules,section-quasi-coherent,Adequate functors,074A4CFDC4A560DE81BBE4809D1BC871214B6B36E4675EFCD0BACFDCFCA0BE41
06UU,adequate-lemma-adequate-finite-presentation,adequate.tex,193,lemma,lemma-adequate-finite-presentation,Adequate Modules,section-quasi-coherent,Adequate functors,3E36BCD1894C877A62B63E83DB20E6A27F2339B06AB633F653AE3F39FD2E1640
06UV,adequate-remark-settheoretic,adequate.tex,209,remark,remark-settheoretic,Adequate Modules,section-quasi-coherent,Adequate functors,4126E27A303DCC550F04E87845EA3316479776B809FE2B2A2A68240404E33CED
06UW,adequate-lemma-adequate-flat,adequate.tex,225,lemma,lemma-adequate-flat,Adequate Modules,section-quasi-coherent,Adequate functors,42D4BAA868062458DE456084020A16E7BFFD2C058DCF47352E00925399D71BB7
06UX,adequate-lemma-adequate-surjection-from-linear,adequate.tex,251,lemma,lemma-adequate-surjection-from-linear,Adequate Modules,section-quasi-coherent,Adequate functors,0B9490A3567351FF91B0F579F8844FF057F94ECCE605F7254C4BD7B4F1F1811B
