topic_id,label,coverage,confidence,evidence_labels,evidence_tags,rationale,review_state
sheaves,Sheaves,direct,high,sheaves-section-sheaves,006S,The Stacks Project has a dedicated sheaf foundation.,topic_scope_reviewed
sheaf-modules,Sheaves of modules,direct,high,sheaves-section-sheaves-modules,0076,Sheaves of modules on ringed sites and spaces are developed directly.,topic_scope_reviewed
coherent,Coherent sheaves,direct,high,modules-section-coherent;coherent-section-coherent-sheaves,01BU;01XY,Coherent modules and coherent sheaves on locally Noetherian schemes are explicit.,topic_scope_reviewed
cohomology,Sheaf cohomology,direct,high,cohomology-section-cohomology-sheaves,01DZ,Derived sheaf cohomology is developed directly.,topic_scope_reviewed
cech,Cech cohomology,direct,high,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,01ED;01EO,Cech complexes and their comparison with sheaf cohomology are explicit.,topic_scope_reviewed
varieties,Algebraic varieties,direct,high,varieties-section-varieties,020C,The varieties chapter supplies the modern scheme-theoretic setting.,topic_scope_reviewed
affine,Affine coherent correspondence,direct,high,schemes-section-quasi-coherent-affine;modules-section-quasi-coherent,01I6;01BD,Quasi-coherent modules on affine schemes and their module correspondence are explicit.,topic_scope_reviewed
module-sheaf,Modules and associated sheaves,direct,high,schemes-section-quasi-coherent-affine;modules-section-quasi-coherent,01I6;01BD,The affine module-to-sheaf equivalence is explicit.,topic_scope_reviewed
projective,Projective schemes,direct,high,constructions-section-projective-space;constructions-section-proj,01ND;01M3,Projective space and relative Proj are developed directly.,topic_scope_reviewed
graded-proj,Graded modules and Proj,direct,high,algebra-section-graded;algebra-section-proj;constructions-section-proj,00JL;00JM;01M3,The graded algebra and relative Proj constructions are explicit.,topic_scope_reviewed
ext,Ext,direct,high,derived-section-ext;cohomology-section-ext,06XP;0BQP,Derived Ext and sheaf Ext have dedicated sections.,topic_scope_reviewed
support,Support,direct,high,modules-section-support,01AS,Support of modules is developed directly.,topic_scope_reviewed
invertible,Invertible modules,direct,high,modules-section-invertible,01CR,Invertible modules are developed directly.,topic_scope_reviewed
hilbert,Hilbert polynomial,partial,high,varieties-subsection-hilbert,08A9,The varieties chapter records Hilbert polynomials but not every historical formulation.,topic_scope_reviewed
euler,Euler characteristic,direct,high,varieties-section-euler,0BEI,Euler characteristics and arithmetic genera are treated in the varieties setting.,topic_scope_reviewed
vanishing,Cohomological vanishing,direct,high,coherent-section-vanishing;properties-section-ample,01XE;01PR,Coherent cohomology vanishing and ampleness criteria are explicit.,topic_scope_reviewed
