id,work,item,unit_type,parent_id,title_en,summary_en,source_start,source_end,authority_sha256,source_file,source_line,topics
fac:introduction,FAC,fac:introduction,semantic_target,fac,Introduction,Introduction,components/001_opening_introduction_contents_and_I_1_1_2.tex:21,components/001_opening_introduction_contents_and_I_1_1_2.tex:21,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,21,
fac:I,FAC,fac:I,chapter,fac,Chapter I. Sheaves,Chapter I. Sheaves,components/001_opening_introduction_contents_and_I_1_1_2.tex:78,components/001_opening_introduction_contents_and_I_1_1_2.tex:78,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,78,ext
fac:I:1,FAC,fac:I:1,section,fac:I,1. Operations on sheaves,1. Operations on sheaves,components/001_opening_introduction_contents_and_I_1_1_2.tex:82,components/001_opening_introduction_contents_and_I_1_1_2.tex:82,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,82,
fac:I:1:no:1,FAC,1,numbered_paragraph,fac:I:1,1. Definition of a sheaf.,1. Definition of a sheaf.,components/001_opening_introduction_contents_and_I_1_1_2.tex:86,components/001_opening_introduction_contents_and_I_1_1_2.tex:86,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,86,sheaves
fac:I:1:no:1:data:item:a,FAC,1,subitem,fac:I:1:no:1,fac I 1 no 1 data item a,fac I 1 no 1 data item a,components/001_opening_introduction_contents_and_I_1_1_2.tex:90,components/001_opening_introduction_contents_and_I_1_1_2.tex:90,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,90,
fac:I:1:no:1:data:item:b,FAC,1,subitem,fac:I:1:no:1,fac I 1 no 1 data item b,fac I 1 no 1 data item b,components/001_opening_introduction_contents_and_I_1_1_2.tex:91,components/001_opening_introduction_contents_and_I_1_1_2.tex:91,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,91,
fac:I:1:no:1:axiom:I,FAC,1,numbered_paragraph,fac:I:1:no:1,fac I 1 no 1 axiom I,fac I 1 no 1 axiom I,components/001_opening_introduction_contents_and_I_1_1_2.tex:99,components/001_opening_introduction_contents_and_I_1_1_2.tex:99,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,99,
fac:I:1:no:1:axiom:II,FAC,1,numbered_paragraph,fac:I:1:no:1,fac I 1 no 1 axiom II,fac I 1 no 1 axiom II,components/001_opening_introduction_contents_and_I_1_1_2.tex:103,components/001_opening_introduction_contents_and_I_1_1_2.tex:103,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,103,
fac:I:1:no:2,FAC,2,numbered_paragraph,fac:I:1,2. Sections of a sheaf.,2. Sections of a sheaf.,components/001_opening_introduction_contents_and_I_1_1_2.tex:111,components/001_opening_introduction_contents_and_I_1_1_2.tex:111,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/001_opening_introduction_contents_and_I_1_1_2.tex,111,sheaves
fac:I:1:no:3,FAC,3,numbered_paragraph,fac:I:1,3. Construction of sheaves.,3. Construction of sheaves.,components/002_I_1_3_construction_of_sheaves.tex:6,components/002_I_1_3_construction_of_sheaves.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/002_I_1_3_construction_of_sheaves.tex,6,
fac:I:1:no:3:item:a,FAC,3,subitem,fac:I:1:no:3,fac I 1 no 3 item a,fac I 1 no 3 item a,components/002_I_1_3_construction_of_sheaves.tex:12,components/002_I_1_3_construction_of_sheaves.tex:12,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/002_I_1_3_construction_of_sheaves.tex,12,
fac:I:1:no:3:item:b,FAC,3,subitem,fac:I:1:no:3,fac I 1 no 3 item b,fac I 1 no 3 item b,components/002_I_1_3_construction_of_sheaves.tex:14,components/002_I_1_3_construction_of_sheaves.tex:14,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/002_I_1_3_construction_of_sheaves.tex,14,
fac:I:1:no:3:prop:1,FAC,3,proposition,fac:I:1:no:3,fac I 1 no 3 prop 1,fac I 1 no 3 prop 1,components/002_I_1_3_construction_of_sheaves.tex:22,components/002_I_1_3_construction_of_sheaves.tex:22,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/002_I_1_3_construction_of_sheaves.tex,22,
fac:footnote:inj-surj,FAC,fac:footnote:inj-surj,footnote,fac,extsc Proposition 1.,extsc Proposition 1.,components/002_I_1_3_construction_of_sheaves.tex:23,components/002_I_1_3_construction_of_sheaves.tex:23,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/002_I_1_3_construction_of_sheaves.tex,23,ext
fac:I:1:no:3:prop:2,FAC,3,proposition,fac:I:1:no:3,extsc Proposition 2.,extsc Proposition 2.,components/002_I_1_3_construction_of_sheaves.tex:35,components/002_I_1_3_construction_of_sheaves.tex:35,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/002_I_1_3_construction_of_sheaves.tex,35,ext
fac:I:1:no:3:prop:3,FAC,3,proposition,fac:I:1:no:3,extsc Proposition 3.,extsc Proposition 3.,components/002_I_1_3_construction_of_sheaves.tex:49,components/002_I_1_3_construction_of_sheaves.tex:49,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/002_I_1_3_construction_of_sheaves.tex,49,ext
fac:I:1:no:4,FAC,4,numbered_paragraph,fac:I:1,4. Gluing of sheaves.,4. Gluing of sheaves.,components/003_I_1_4_gluing_of_sheaves.tex:6,components/003_I_1_4_gluing_of_sheaves.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/003_I_1_4_gluing_of_sheaves.tex,6,
fac:I:1:no:4:prop:4,FAC,4,proposition,fac:I:1:no:4,extsc Proposition 4.,extsc Proposition 4.,components/003_I_1_4_gluing_of_sheaves.tex:14,components/003_I_1_4_gluing_of_sheaves.tex:14,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/003_I_1_4_gluing_of_sheaves.tex,14,ext
fac:I:1:no:5,FAC,5,numbered_paragraph,fac:I:1,5. Extension and restriction of a sheaf.,5. Extension and restriction of a sheaf.,components/004_I_1_5_extension_and_restriction.tex:6,components/004_I_1_5_extension_and_restriction.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/004_I_1_5_extension_and_restriction.tex,6,ext;sheaves
fac:I:1:no:5:prop:5,FAC,5,proposition,fac:I:1:no:5,extsc Proposition 5.,extsc Proposition 5.,components/004_I_1_5_extension_and_restriction.tex:12,components/004_I_1_5_extension_and_restriction.tex:12,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/004_I_1_5_extension_and_restriction.tex,12,ext
fac:I:1:no:5:prop:6,FAC,5,proposition,fac:I:1:no:5,extsc Proposition 6.,extsc Proposition 6.,components/004_I_1_5_extension_and_restriction.tex:24,components/004_I_1_5_extension_and_restriction.tex:24,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/004_I_1_5_extension_and_restriction.tex,24,ext
