topic_id,label,pattern,cap,coverage,confidence,evidence_labels,rationale
additive,Additive categories,additive categor|preadditive,100,direct,high,homology-section-additive-categories,Preadditive and additive categories are developed directly.
abelian,Abelian categories,abelian categor,100,direct,high,homology-section-abelian-categories,Abelian categories are developed directly.
exact-functor,Exact functors,exact functor,80,direct,high,categories-section-exact-functor,Exact functors have a dedicated section.
injectives,Injective objects,injective object|injective resolution,120,direct,high,homology-section-injectives;derived-section-injective-resolutions,Injective objects and resolutions are developed directly.
grothendieck-category,Grothendieck categories,grothendieck categor|AB5|generator,100,direct,high,injectives-section-grothendieck-conditions;injectives-section-grothendieck-categories,Grothendieck conditions and existence of injectives are developed directly.
delta-functor,Delta functors,delta.functor|effaceable,100,direct,high,homology-section-cohomological-delta-functor,Universal cohomological delta functors are explicit.
derived-functor,Derived functors,derived functor|acyclic object,120,direct,high,derived-section-right-derived-functor;cohomology-section-derived-functors,Classical right derived functors and their sheaf form are explicit.
ext,Ext,ext group|extension,100,direct,high,derived-section-ext;cohomology-section-ext,Ext groups and Ext sheaves have dedicated sections.
spectral-sequence,Spectral sequences,spectral sequence,120,direct,high,homology-section-spectral-sequence,The abstract spectral-sequence formalism is developed directly.
sheaf-cohomology,Sheaf cohomology,sheaf cohomology|cohomology of sheaves,120,direct,high,cohomology-section-cohomology-sheaves,Sheaf cohomology is developed directly.
cech,Cech cohomology,cech|covering,100,direct,high,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,Cech complexes and comparison are explicit.
support,Cohomology with support,cohomology with support|family of supports,100,direct,high,cohomology-section-cohomology-support,Cohomology with support is developed directly.
limits,Limits and filtered colimits,filtered colimit|direct limit|inverse limit,100,direct,high,categories-section-directed-colimits;categories-section-limits;cohomology-section-limits,The categorical limits and cohomological filtered-colimit behavior are explicit.
