unit_id,item,unit_type,parent_id,source_start,source_end,source_loc,authority_sha256,source_topics,topic_evidence_labels,topic_evidence_tags,decision_id,disposition,review_state,stacks_labels,stacks_tags,rationale
tohoku:term:abelian-category,121;127,term,tohoku:section:1.4,121,127,sem/r7/nodes.csv:2,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,abelian,homology-section-abelian-categories,00ZX,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:acyclicity-criterion,121;158,term,tohoku:section:3.3,121,158,sem/r7/nodes.csv:3,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,derived-functor,cohomology-section-derived-functors;derived-section-right-derived-functor,0156;0716,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:additive-category,121;126,term,tohoku:section:1.3,121,126,sem/r7/nodes.csv:4,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,additive,homology-section-additive-categories,09SE,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:category,121;122,term,tohoku:section:1.1,121,122,sem/r7/nodes.csv:5,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:cech-cohomology,121;174,term,tohoku:section:3.8,121,174,sem/r7/nodes.csv:6,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,cech,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,01ED;01EO,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:closed-subspace-exact-sequence,121;166,term,tohoku:section:3.5,121,166,sem/r7/nodes.csv:7,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:cogenerator,121;134,term,tohoku:section:1.9,121,134,sem/r7/nodes.csv:8,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,grothendieck-category;injectives,derived-section-injective-resolutions;homology-section-injectives;injectives-section-grothendieck-categories;injectives-section-grothendieck-conditions,0134;013G;05AB;079A,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:cohomological-dimension,121;167,term,tohoku:section:3.6,121,167,sem/r7/nodes.csv:9,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:cohomology-with-supports,121;156,term,tohoku:section:3.2,121,156,sem/r7/nodes.csv:10,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,support,cohomology-section-cohomology-support,0A39,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:covering-method,121;179,term,tohoku:section:3.9,121,179,sem/r7/nodes.csv:11,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,cech,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,01ED;01EO,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:delta-functor,121;139,term,tohoku:section:2.1,121,139,sem/r7/nodes.csv:12,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,delta-functor,homology-section-cohomological-delta-functor,010P,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:delta-star-functor,121;139,term,tohoku:section:2.1,121,139,sem/r7/nodes.csv:13,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:derived-delta-functor,121;140,term,tohoku:section:2.2,121,140,sem/r7/nodes.csv:14,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,delta-functor,homology-section-cohomological-delta-functor,010P,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:derived-functor,121;143,term,tohoku:section:2.3,121,143,sem/r7/nodes.csv:15,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,derived-functor,cohomology-section-derived-functors;derived-section-right-derived-functor,0156;0716,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:diagram-category,121;130,term,tohoku:section:1.6,121,130,sem/r7/nodes.csv:16,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:diagram-scheme,121;131,term,tohoku:section:1.7,121,131,sem/r7/nodes.csv:17,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:functor,121;124,term,tohoku:section:1.2,121,124,sem/r7/nodes.csv:18,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:generator,121;134,term,tohoku:section:1.9,121,134,sem/r7/nodes.csv:19,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,grothendieck-category,injectives-section-grothendieck-categories;injectives-section-grothendieck-conditions,05AB;079A,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:global-ext,121;187,term,tohoku:section:4.2,121,187,sem/r7/nodes.csv:20,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,ext,cohomology-section-ext;derived-section-ext,06XP;0BQP,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:global-hom,121;185,term,tohoku:section:4.1,121,185,sem/r7/nodes.csv:21,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:homological-algebra,121;139,term,tohoku:chapter:II,121,139,sem/r7/nodes.csv:22,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:inductive-limit,121;133,term,tohoku:section:1.8,121,133,sem/r7/nodes.csv:23,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,limits,categories-section-directed-colimits;categories-section-limits;cohomology-section-limits,002D;01FE;04AX,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:infinite-product,121;128,term,tohoku:section:1.5,121,128,sem/r7/nodes.csv:24,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:infinite-sum,121;128,term,tohoku:section:1.5,121,128,sem/r7/nodes.csv:25,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:injective-object,121;135,term,tohoku:section:1.10,121,135,sem/r7/nodes.csv:26,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,injectives,derived-section-injective-resolutions;homology-section-injectives,0134;013G,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:leray-spectral-sequence,121;171,term,tohoku:section:3.7,121,171,sem/r7/nodes.csv:27,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,spectral-sequence,homology-section-spectral-sequence,011M,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:limit-in-sheaf-cohomology,121;181,term,tohoku:section:3.10,121,181,sem/r7/nodes.csv:28,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,limits;sheaf-cohomology,categories-section-directed-colimits;categories-section-limits;cohomology-section-cohomology-sheaves;cohomology-section-limits,002D;01DZ;01FE;04AX,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:local-ext,121;187,term,tohoku:section:4.2,121,187,sem/r7/nodes.csv:29,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,ext,cohomology-section-ext;derived-section-ext,06XP;0BQP,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:multiplicative-structure,121;120,term,tohoku:introduction:footnote:1bis,121,120,sem/r7/nodes.csv:30,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:permanence-property,121;130,term,tohoku:section:1.6,121,130,sem/r7/nodes.csv:31,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:projective-limit,121;133,term,tohoku:section:1.8,121,133,sem/r7/nodes.csv:32,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,limits,categories-section-directed-colimits;categories-section-limits;cohomology-section-limits,002D;01FE;04AX,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:projective-object,121;135,term,tohoku:section:1.10,121,135,sem/r7/nodes.csv:33,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:quotient-category,121;137,term,tohoku:section:1.11,121,137,sem/r7/nodes.csv:34,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:resolving-functor,121;149,term,tohoku:section:2.5,121,149,sem/r7/nodes.csv:35,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:sheaf,121;153,term,tohoku:section:3.1,121,153,sem/r7/nodes.csv:36,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:sheaf-ext,121;185,term,tohoku:chapter:IV,121,185,sem/r7/nodes.csv:37,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,ext,cohomology-section-ext;derived-section-ext,06XP;0BQP,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:sheaf-hom,121;185,term,tohoku:section:4.1,121,185,sem/r7/nodes.csv:38,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
tohoku:term:spectral-functor,121;144,term,tohoku:section:2.4,121,144,sem/r7/nodes.csv:39,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,,needs_review,generated_intake,,,Requires statement-level mathematical comparison.
