topic_id,score,hit_fields,tag,full_label,file,line,kind,section_title,snippet,status
additive,186,label;section;text,00ZY,homology-definition-preadditive,homology.tex,48,definition,Preadditive and additive categories,"egin definition A category A is called preadditive if each morphism set A (x, y) is endowed with the structure of an abelian group such that the compositions (x, y) imes (y, z) (x, z) are bilinear. A functor F : A o B of preadditive categories is called additive if and only if F ",lexical_candidate_only
additive,185,label;section;text,0101,homology-lemma-preadditive-direct-sum,homology.tex,107,lemma,Preadditive and additive categories,"egin lemma Let A be a preadditive category. Let x, y ( A ) . If the product x imes y exists, then so does the coproduct x y . If the coproduct x y exists, then so does the product x imes y . In this case also x y ong x imes y .",lexical_candidate_only
additive,185,label;section;text,00ZZ,homology-lemma-preadditive-zero,homology.tex,70,lemma,Preadditive and additive categories,"egin lemma Let A be a preadditive category. Let x be an object of A . The following are equivalent egin enumerate x is an initial object, x is a final object, and ext id x = 0 in A (x, x) . Furthermore, if such an object 0 exists, then a morphism : y o z factors through 0 if and ",lexical_candidate_only
additive,114,label;text,05QD,homology-lemma-localization-preadditive,homology.tex,1754,lemma,Localization,egin lemma Let C be a preadditive category. Let S be a left or right multiplicative system. There exists a unique preadditive structure on S -1 C such that the localization functor Q : C o S -1 C is additive.,lexical_candidate_only
additive,96,section;text,09SE,homology-section-additive-categories,homology.tex,42,section,Preadditive and additive categories,Preadditive and additive categories Here is the definition of a preadditive category. egin definition A category A is called preadditive,lexical_candidate_only
additive,94,section;text,0102,homology-definition-direct-sum,homology.tex,147,definition,Preadditive and additive categories,"egin definition Given a pair of objects x, y in a preadditive category A , the direct sum x y of x and y is the direct product x imes y endowed with the morphisms i, j, p, q as in Lemma ef lemma-preadditive-direct-sum above.",lexical_candidate_only
additive,94,section;text,0100,homology-definition-zero-object,homology.tex,100,definition,Preadditive and additive categories,"egin definition In a preadditive category A , we call an object that is both final and initial (as in Lemma ef lemma-preadditive-zero ) a zero object and denote it 0 .",lexical_candidate_only
additive,94,section;text,09QG,homology-lemma-additive-cat-biproduct-kernel,homology.tex,253,lemma,Preadditive and additive categories,"egin lemma Let C be a preadditive category. Let x y with morphisms i, j, p, q as in Lemma ef lemma-preadditive-direct-sum be a direct sum in C . Then i : x o x y is a kernel of q : x y ightarrow y . Dually, p is a cokernel for j .",lexical_candidate_only
additive,93,section;text,0104,homology-definition-additive-category,homology.tex,199,definition,Preadditive and additive categories,"egin definition A category A is called additive if it is preadditive and finite products exist, in other words it has a zero object and direct sums.",lexical_candidate_only
additive,93,section;text,0106,homology-definition-kernel,homology.tex,210,definition,Preadditive and additive categories,egin definition Let A be a preadditive category. Let f : x o y be a morphism. egin enumerate A kernel of f is a morphism i : z o x such that (a) f irc i = 0 and (b) for any i' : z' o x such that f irc i' = 0 there exists a unique morphism g : z' o z such that i' = i irc g . If th,lexical_candidate_only
additive,93,section;text,0105,homology-lemma-additive-additive,homology.tex,173,lemma,Preadditive and additive categories,"egin lemma Let A , B be preadditive categories. Let F : A o B be an additive functor. Then F transforms direct sums to direct sums and zero to zero.",lexical_candidate_only
additive,93,section;text,0107,homology-lemma-coim-im-map,homology.tex,298,lemma,Preadditive and additive categories,"egin lemma Let f : x o y be a morphism in a preadditive category such that the kernel, cokernel, image and coimage all exist. Then f can be factored uniquely as x o (f) o (f) o y .",lexical_candidate_only
additive,93,section;text,0H9P,homology-lemma-idempotent-kernel-cokernel,homology.tex,367,lemma,Preadditive and additive categories,"egin lemma Let A be a preadditive category, x be an object of A , and f : x o x be idempotent. Write g = ext id x - f and recall by Remark ef remark-idempotent-symmetry that f irc g = g irc f = 0 . egin enumerate If f has kernel i : (f) o x and p is the unique morphism such that ",lexical_candidate_only
additive,93,section;text,0H9Q,homology-lemma-idempotent-splitting,homology.tex,422,lemma,Preadditive and additive categories,"egin lemma Let A be a preadditive category, x be an object of A , and f : x o x be idempotent. Write g = ext id x - f . If each of f and g have at least one of a kernel or cokernel and in turn morphisms i , j , p , q are constructed as in the statement of Lemma ef lemma-idempoten",lexical_candidate_only
additive,93,section;text,0E43,homology-lemma-kernel-mono,homology.tex,275,lemma,Preadditive and additive categories,"egin lemma Let C be a preadditive category. Let f : x o y be a morphism in C . egin enumerate If a kernel of f exists, then this kernel is a monomorphism. If a cokernel of f exists, then this cokernel is an epimorphism. If a kernel and coimage of f exist, then the coimage is an e",lexical_candidate_only
additive,93,section;text,0H9R,homology-lemma-split-morphism-kernel-cokernel,homology.tex,450,lemma,Preadditive and additive categories,"egin lemma Let A be a preadditive category, x and y be objects of A , and j : y o x and q : x o y be morphisms satisfying q irc j = ext id y . Then egin enumerate ext id x - j irc q has kernel j . ext id x - j irc q has cokernel q .",lexical_candidate_only
additive,93,section;text,0H9S,homology-lemma-split-morphism-splitting,homology.tex,480,lemma,Preadditive and additive categories,"egin lemma Let A be a preadditive category, x and y be objects of A , and j : y o x and q : x o y be morphisms satisfying q irc j = ext id y . If j irc q has at least one of a kernel or cokernel, then both (co)kernels exist and egin align* x (j irc q) y \\ (j irc q) y with the st",lexical_candidate_only
additive,93,section;text,0103,homology-remark-direct-sum,homology.tex,155,remark,Preadditive and additive categories,"egin remark Note that the proof of Lemma ef lemma-preadditive-direct-sum shows that given p and q the morphisms i , j are uniquely determined by the rules p irc i = ext id x , q irc j = ext id y , p irc j = 0 , q irc i = 0 . Moreover, we automatically have i irc p + j irc q = ext",lexical_candidate_only
additive,93,section;text,0H9N,homology-remark-idempotent-symmetry,homology.tex,358,remark,Preadditive and additive categories,"egin remark Let A be a preadditive category, x an object of A , and f : x o x idempotent. Writing g = ext id x - f , one has f irc g = 0 , g irc f = 0 , and g irc g = g .",lexical_candidate_only
additive,72,section,0108,homology-example-not-abelian,homology.tex,319,example,Preadditive and additive categories,"egin example Let k be a field. Consider the category of filtered vector spaces over k . (See Definition ef definition-filtered .) Consider the filtered vector spaces (V, F) and (W, F) with V = W = k and F iV = \ egin matrix V ext if i < 0 \\ 0 ext if i 0 ight. ext and F iW = \ eg",lexical_candidate_only
additive,22,text,010A,homology-lemma-abelian-opposite,homology.tex,617,lemma,Abelian categories,"egin lemma Let A be a preadditive category. The additions on sets of morphisms make A opp into a preadditive category. Furthermore, A is additive if and only if A opp is additive, and A is abelian if and only if A opp is abelian.",lexical_candidate_only
additive,22,text,02MZ,homology-lemma-inverse-systems-abelian,homology.tex,7616,lemma,Inverse systems,"egin lemma Let C be a category. egin enumerate If C is an additive category, then the category of inverse systems with values in C is an additive category. If C is an abelian category, then the category of inverse systems with values in C is an abelian category. A sequence (K i) ",lexical_candidate_only
additive,22,text,05QE,homology-lemma-localization-additive,homology.tex,1866,lemma,Localization,egin lemma Let C be an additive category. Let S be a left or right multiplicative system. Then S -1 C is an additive category and the localization functor Q : C o S -1 C is additive.,lexical_candidate_only
