canonical_defect_id,canonical_operation_id,authority_sha256,source_file,source_locator,lease,local_id,classification,exact_source,proposed_correction,target_locator,disposition,rationale
INJECTIVES-CH19-D001,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:69,A,INJECTIVES-A-D001,mathematical_index_typo,B_\beta \to \colim_{\beta \in \alpha} B_\alpha,B_\beta \to \colim_{\beta \in \alpha} B_\beta,injectives.part-a.fr.tex:67,preserved_pending_canon,The displayed colimit is indexed by beta and the structure morphism has codomain colim B_beta; B_alpha is not the varying object.
INJECTIVES-CH19-D002,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:71,A,INJECTIVES-A-D002,prose_grammar,neither injective or surjective,neither injective nor surjective,injectives.part-a.fr.tex:69,corrected_in_translation,The correlative conjunction requires nor.
INJECTIVES-CH19-D003,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:172,A,INJECTIVES-A-D003,prose_grammar,Let \kappa the cardinality,Let \kappa be the cardinality,injectives.part-a.fr.tex:168,corrected_in_translation,The source sentence lacks the finite verb be.
INJECTIVES-CH19-D004,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:741,B,INJECTIVES-B-D001,grammar_missing_article_and_number_agreement,"Suppose that $\mathcal{G}_i$, $i\in I$ is set of abelian sheaves","Suppose that the $\mathcal{G}_i$, $i\in I$, form a set of abelian sheaves",injectives.part-b.fr.tex:75,Rendered idiomatically at target line 75; no mathematical source emendation.,Rendered idiomatically at target line 75; no mathematical source emendation.
INJECTIVES-CH19-D005,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:913,B,INJECTIVES-B-D002,editorial_placeholder,Insert here future reference to internal hom.,Replace the placeholder by the eventual internal-Hom cross-reference.,injectives.part-b.fr.tex:236,Placeholder preserved transparently in French at target line 236; requires upstream editorial resolution rather than a mathematical emendation.,Placeholder preserved transparently in French at target line 236; requires upstream editorial resolution rather than a mathematical emendation.
INJECTIVES-CH19-D006,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:936,B,INJECTIVES-B-D003,grammar_missing_copula,This because $\mathcal{J}$ is an injective abelian sheaf.,This is because $\mathcal{J}$ is an injective abelian sheaf.,injectives.part-b.fr.tex:258,Rendered grammatically at target line 258; no mathematical source emendation.,Rendered grammatically at target line 258; no mathematical source emendation.
INJECTIVES-CH19-D007,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:959-961,B,INJECTIVES-B-D004,categorical_type_mismatch,"As $\mathcal{J}$ is an injective $\mathcal{O}$-module, this extends to a map","As $\mathcal{J}$ is an injective abelian sheaf, the underlying map extends.",injectives.part-b.fr.tex:282-284,Corrected explicitly at target lines 282-284: the construction only made $\mathcal{J}$ injective as an abelian sheaf; the $\mathcal{O}$-module structure belongs to the internal Hom.,Corrected explicitly at target lines 282-284: the construction only made $\mathcal{J}$ injective as an abelian sheaf; the $\mathcal{O}$-module structure belongs to the internal Hom.
INJECTIVES-CH19-D008,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:973-974,B,INJECTIVES-B-D005,grammar_duplicate_determiner,The composition of $ev$ with this the displayed map gives,The composition of $ev$ with the displayed map gives,injectives.part-b.fr.tex:295-297,Rendered grammatically at target lines 295-297; no mathematical source emendation.,Rendered grammatically at target lines 295-297; no mathematical source emendation.
INJECTIVES-CH19-D009,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1230-1231,B,INJECTIVES-B-D006,grammar_subject_verb_agreement,the push-out ... via any morphism $A \to A'$ exist,the push-out ... via any morphism $A \to A'$ exists,injectives.part-b.fr.tex:527-529,Rendered grammatically at target lines 527-529; mathematical content unchanged.,Rendered grammatically at target lines 527-529; mathematical content unchanged.
INJECTIVES-CH19-D010,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1233-1234,B,INJECTIVES-B-D007,grammar_subject_verb_agreement,the base change ... via any morphism $C' \to C$ exist,the base change ... via any morphism $C' \to C$ exists,injectives.part-b.fr.tex:530-532,Rendered grammatically at target lines 530-532; mathematical content unchanged.,Rendered grammatically at target lines 530-532; mathematical content unchanged.
INJECTIVES-CH19-D011,INJECTIVES-CH19-OP001,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1371,C,INJECTIVES-C-D001,mathematical_typography,\phi),\phi,injectives.part-c.fr.tex:40,emended,Unmatched parenthesis inside the set-builder predicate.
INJECTIVES-CH19-D012,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1494,C,INJECTIVES-C-D002,prose_grammar,combined the define,together they define a morphism,injectives.part-c.fr.tex:166,translated_intended_sense,Read as together they define.
INJECTIVES-CH19-D013,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1644,C,INJECTIVES-C-D003,prose_grammar,an K-injective complex,a K-injective complex,injectives.part-c.fr.tex:320,translated_intended_sense,English article disagreement only.
INJECTIVES-CH19-D014,INJECTIVES-CH19-OP002,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1663,C,INJECTIVES-C-D004,mathematical_indices,K_beta = colim K_alpha,$K_\alpha^\bullet = \colim_{\beta < \alpha} K_\beta^\bullet$.,injectives.part-c.fr.tex:340,emended,A limit step must define K_alpha from all earlier K_beta.
INJECTIVES-CH19-D015,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1711,C,INJECTIVES-C-D005,prose_grammar,such,such that,injectives.part-c.fr.tex:387,translated_intended_sense,The construction requires such that before the enumerated properties.
