id,part,source_file,source_locator,authority_sha256,observation,adverse_evidence,proposed_smallest_correction,status
SETS-001,p01,sets.tex,sets.tex:993,9BCC55E7F11CF36B0665AE549D5BA76BE6A0EDD00F7FCA36A567E367099603F9,"The supremum ranges over S_\tau although only \mathcal{S}_\tau was defined at line 986.","The immediately preceding definition is \mathcal{S}_\tau; plain S_\tau is otherwise undefined in this argument.","Replace S_\tau by \mathcal{S}_\tau.",suspected
SETS-002,p01,sets.tex,sets.tex:1088,9BCC55E7F11CF36B0665AE549D5BA76BE6A0EDD00F7FCA36A567E367099603F9,"The base-change bound uses f(\beta + 1) although no bare \beta is fixed in this paragraph.","Lines 1074-1076 define \beta(\mathcal{U}) and establish \beta(\mathcal{U}) < \beta_2 for the covering under discussion.","Replace f(\beta + 1) by f(\beta(\mathcal{U}) + 1).",suspected
SETS-003,p01,sets.tex,sets.tex:1093-1101,9BCC55E7F11CF36B0665AE549D5BA76BE6A0EDD00F7FCA36A567E367099603F9,"The second site axiom is tested in Cov_{\kappa,f(\alpha)} and the cofinal bound concludes \beta < \beta_1.","The lemma must prove closure of Cov_{\kappa,\alpha}; the function maps I to \beta_2 and cofinality of \beta_2 gives a bound strictly below \beta_2, not necessarily below \beta_1.","Use Cov_{\kappa,\alpha} in lines 1093 and 1096 and conclude \beta < \beta_2 in line 1100.",suspected
SETS-004,p01,sets.tex,sets.tex:844-848,9BCC55E7F11CF36B0665AE549D5BA76BE6A0EDD00F7FCA36A567E367099603F9,"The proof defines W_{a,i} but the final coproduct uses W_{i,a}.","No W_{i,a} is defined; the two indices are transposed only in the concluding display.","Replace W_{i,a} by W_{a,i} in line 848.",suspected
TOPOLOGY-001,p01,topology.tex,topology.tex:1235,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The graph proof chooses j and j' in E although the vertex set is denoted V and no set E is defined.","Lines 1230-1234 define the graph Gamma and its vertex set V={1,...,n}; the maximal-distance pair must be vertices.","Replace j,j' in E by j,j' in V.",suspected
TOPOLOGY-002,p01,topology.tex,topology.tex:1276-1277,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The set A is defined as a set of closed subsets, but the displayed partial order is written on alpha and alpha' through undefined objects Z_alpha and Z_alpha'.","The following sentence chooses a smallest element Z of A, confirming that elements of A are closed subsets rather than indices alpha.","Write Z <= Z' iff Z is contained in Z' for Z,Z' in A, or explicitly define an indexed family Z_alpha before the formula.",suspected
TOPOLOGY-003,p01,topology.tex,topology.tex:2380,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The limit lemma writes J as a subset of plain I, although the indexing category is denoted by calligraphic I and no plain set I is defined.","The proof immediately uses J as the image of a map to Ob(calligraphic I), and all projection indices are objects of that category.","Replace J subset I by J subset Ob(calligraphic I).",suspected
TOPOLOGY-004,p01,topology.tex,topology.tex:1882-1884,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"Two formulas use X setminus U union V without parentheses in a proof that requires the complement of the union.","The surrounding argument needs points outside both U and V, hence outside U union V; under standard precedence the written expression instead unions V back in.","Replace X setminus U union V by X setminus (U union V) in both occurrences.",suspected
TOPOLOGY-005,p01,topology.tex,topology.tex:1946-1947,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The asserted strictly decreasing chain contains X setminus U_i1 union U_i2 without parentheses.","The chain construction removes successively larger finite unions, so the term must be the complement of U_i1 union U_i2.","Replace X setminus U_i1 union U_i2 by X setminus (U_i1 union U_i2).",suspected
TOPOLOGY-006,p01,topology.tex,topology.tex:3124,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The displayed definition of U_K has an unmatched extra closing parenthesis after the set-builder expression.","The opening delimiters are U_K := and a left brace; the final right parenthesis has no matching opening parenthesis and is not used subsequently.","Delete the final unmatched closing parenthesis.",suspected
TOPOLOGY-007,p01,topology.tex,topology.tex:2649,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"The finite-union identity is written E = bigcup E intersect V_j without a union index or grouping.","The preceding sentence ranges over j = 1,...,m and the next sentence invokes finiteness; the intended expression is the union over those j.","Write E = bigcup_{j=1}^m (E intersect V_j).",suspected
TOPOLOGY-008,p01,topology.tex,topology.tex:3775-3776,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"A chain displayed as Z_0 subset ... subset Z_e subset Y is called a chain of irreducible closed subsets of X.","The proof then uses the generic points of Z_i as points of Y and lifts them through f : X to Y.","Replace 'subsets of X' by 'subsets of Y'.",suspected
TOPOLOGY-009,p01,topology.tex,topology.tex:3877-3888,C6BAC8DCF8AD96DC47416BF34CB45BA4A10B894E40D67D3E1FA68D8EF0D9F872,"For Y contained in Y' and their generic points xi and xi', the direction of specialization and the sign of the dimension difference appear reversed.","Lines 3843-3856 and 3871-3872 give the convention that dimension increases along specialization; for Y contained in Y' one expects xi' to specialize to xi and codim(Y,Y') = delta(xi') - delta(xi).","Reverse the displayed specialization directions and the sign consistently after mathematical confirmation.",reported_to_cjk1_2026-08-22
