local_path,remote_filename,bytes,md5,sha256
output/publication/TOHOKU_STACKS_R71_README.md,70_TOHOKU_STACKS_R71_README.md,2833,9C6CF106BC6C31C775A0DADA62F40E1E,79EE4EA0BB362FA2C5B9FA845EF5FBEB9E27B943F7E38827973C15AE8A2B2909
tohoku_r71/r71-check.json,72_TOHOKU_STACKS_R71_terminal_receipt.json,13312,C6CBF7B7C65BD2D81AC6AF5E78D5E146,097240D2CE69993FA61E9BA7CB81F47EC0329C23B686D69A6771DE0C9F6A6369
tohoku_r71/STATUS.md,73_TOHOKU_STACKS_R71_STATUS.md,950,44183EEA3CDB145E4117AA80DC0D1402,529747894CF1F22D282F5CA706DB5C0E684B0E56BF7FB5DFE23D466C4D5D1BC2
tohoku_r71/cfg.json,74_TOHOKU_STACKS_R71_config.json,5151,703D368B46239CDB43BE5B34A7BAE304,2C1917E032CAE4B174E89319E4BC860D4CB04967899F1B0679C0527B95E952D7
tohoku_r71/intake.json,75_TOHOKU_STACKS_R71_intake.json,1578,9178E1C0F5E6B1A279FC2996D171561C,7E2B1F451113D57041FB676A4BE85F6C8AE51783FC8A559691AD5D6DCCF9271F
tohoku_r71/units.csv,76_TOHOKU_STACKS_R71_units.csv,393225,A28658A428911531593D68B0441ABDA1,6AAAD1470DDA82604F84D697EC1833FAC4BEE16342FAD8EB415BA17CFB018262
tohoku_r71/map.csv,77_TOHOKU_STACKS_R71_map.csv,501183,1112204448827F5C5076D792967EDEB6,A4BDB33261A9AA950BD23C7046AC5E1FF9959EF6FE23DBA41B369F2EE2E52680
tohoku_r71/dec.csv,78_TOHOKU_STACKS_R71_decisions.csv,410467,BE5C6BFE4EAD48394E161FFDFFD6BD02,9295BCD5D3BCF93376BC4DC6A565B9D515ABD2E608BA2B000B67824DD7943D79
tohoku_r71/issues.csv,79_TOHOKU_STACKS_R71_source_issues.csv,35465,72D053BF025DB6E2F06596458A8A6EA4,E8E7A81AEF7E1509CF05E746D0CA32597F6DDF2B77909195A17F43A32BB43C25
tohoku_r71/mcheck.json,80_TOHOKU_STACKS_R71_mapping_check.json,73894,FCB94C4E6790C649D1663633D245F322,FC7AB928A40AF43EC90BE8B81FD266CE31006615A345AB7915AD096AF9BF9082
tohoku_r71/check.json,81_TOHOKU_STACKS_R71_check.json,84174,033757669A216DF910128DDDA66A4AC1,4ABB22388571D56C410E36811D86EB3EAA2B9AE814C5FEE4F5461F8867C39F61
tohoku_r71/stx.csv,82_TOHOKU_STACKS_R71_stacks_inventory.csv,5291400,5B98A5166CAEB28F1E7FAB928B7804BF,3A27F8EE563AF2521071EC5D1EFE6BF6E8DA1E5B194B98CC0C0D450B6CB00118
tohoku_r71/topics.csv,83_TOHOKU_STACKS_R71_topics.csv,2453,986EEBC28D4B85B108EEE045FAEA5A4F,AA62558CA4292B914D75A63BC4436586D88B754C9D08618DC8E67554C58B6B5C
tohoku_r71/tmap.csv,84_TOHOKU_STACKS_R71_topic_map.csv,2424,A2651D532EC8C2CE9F8B7A291040838D,DEB05561CA297574E3FC54D9E36CB8628A092C280BDFAB53E79C0F198C29C9A1
tohoku_r71/tcand.csv,85_TOHOKU_STACKS_R71_topic_candidates.csv,489828,30DE49F48CB58366290EE52FCCF57F57,EA279CAB0FDF739C87884E0228036A3E0E5ACC3BE3F93F0A22DCB67B40591513
