map_id,topic_id,source_unit,authority_state,source_receipt,source_receipt_sha256,stacks_commit,stacks_file,stacks_label,official_tag,relation,granularity,review_state,coverage_claim,supersedes,notes
M000001,ega-topic-affine,ega:subsection:I.1.1,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-affine-schemes,01HR,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000002,ega-topic-affine,ega:subsection:I.1.2,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-category-affine-schemes,01HX,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000003,ega-topic-qcoh,ega:subsection:I.1.3,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-quasi-coherent-affine,01I6,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000004,ega-topic-qcoh,ega:subsection:I.1.4,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-quasi-coherent-affine,01I6,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000005,ega-topic-qcoh,ega:subsection:I.1.5,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-quasi-coherent-affine,01I6,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000006,ega-topic-qcoh,ega:subsection:I.1.6,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-quasi-coherent-affine,01I6,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000007,ega-topic-affine,ega:subsection:I.1.7,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-category-affine-schemes,01HX,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000008,ega-topic-affine,ega:subsection:I.1.8,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-category-affine-schemes,01HX,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000009,ega-topic-schemes,ega:subsection:I.2.1,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-schemes,01II,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000010,ega-topic-morphisms,ega:subsection:I.2.2,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-locally-ringed-spaces,01HA,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000011,ega-topic-schemes,ega:subsection:I.2.3,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-glueing-schemes,01JA,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000012,ega-topic-schemes,ega:subsection:I.2.4,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-locally-ringed-spaces,01HA,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000013,ega-topic-products,ega:subsection:I.3.2,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-existence-fibre-products,01JL,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000014,ega-topic-products,ega:subsection:I.3.2,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-fibre-products,01JO,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000015,ega-topic-products,ega:subsection:I.3.3,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-fibre-products,01JO,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000016,ega-topic-fibres,ega:subsection:I.3.6,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-fibre-products,01JO,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000017,ega-topic-immersions,ega:subsection:I.4.1,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,schemes.tex,schemes-section-immersions,01IM,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
M000018,ega-topic-immersions,ega:subsection:I.4.2,french_admitted,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,a04446e57ec1fbc252a871afcec7752fb2807b14,morphisms.tex,morphisms-section-immersions,07RJ,split,source_subsection_to_stacks_section,reviewed_existing,topical_overlap_only,,No theorem-level equivalence asserted
