locator_id,unit_id,parsed_page,printed_page,source_receipt,source_receipt_sha256,page_gate,page_gate_sha256,evidence_id,decision_id,notes,supersedes
L000001,ega:I.3.5.2,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-352-PROPOSITION-001,D000121,Unit begins after the direct-French p.115 marker,
L000002,ega:I.3.5.2:proof,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-352-PROPOSITION-001,D000121,Proof begins on direct-French p.115,
L000003,ega:I.3.5.3,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-353-STATEMENT-DIAGRAM-001,D000121,Unit begins on direct-French p.115,
L000004,ega:I.3.5.3:diagram:xymatrix:1,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-353-STATEMENT-DIAGRAM-001,D000121,Diagram begins on direct-French p.115,
L000005,ega:I.3.5.3:proof,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-353-PROOF-001,D000121,Proof begins on direct-French p.115,
L000006,ega:I.3.5.4,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-354-DEFINITION-001,D000121,Unit begins on direct-French p.115,
L000007,ega:I.3.5.5,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-355-PARTIAL-001,D000121,Unit first begins on direct-French p.115,
L000008,ega:I.3.5.5:diagram:xymatrix:1,I:114,I:115,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P115_VALIDATION_R38.json,8D0C007424BBFAECD5F59CE33A25567EE6923C4A88D461BB87CE86ADA2496E1B,EG-EGA-I-P115-FR-355-PARTIAL-001,D000121,Diagram begins on direct-French p.115,
L000009,ega:I.3.5.6,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-356-PROPOSITION-001,D000121,Unit begins on direct-French p.116,
L000010,ega:I.3.5.6:proof,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-356-PROPOSITION-001,D000121,Proof begins on direct-French p.116,
