topic_id,title,discovery_pattern,review_state,evidence_labels,notes
ega-topic-foundations,Foundational conventions,universe|set-theoretic|convention,unreviewed,,Discovery only
ega-topic-topology,General topology,topological space|quasi-compact|specialization,unreviewed,,Discovery only
ega-topic-categories,Categories and functors,category|functor|representable,unreviewed,,Discovery only
ega-topic-sheaves,Sheaves and presheaves,sheaf|presheaf|stalk,unreviewed,,Discovery only
ega-topic-ringed-spaces,Ringed and locally ringed spaces,ringed space|locally ringed,unreviewed,,Discovery only
ega-topic-schemes,Schemes and preschemes,scheme|prescheme,unreviewed,,Discovery only
ega-topic-affine,Affine schemes and relative spectra,affine|relative spectrum|Spec,unreviewed,,Discovery only
ega-topic-products,Products and fibre products,product|fibre product|base change,unreviewed,,Discovery only
ega-topic-morphisms,Morphisms of schemes,morphism|diagonal|graph,unreviewed,,Discovery only
ega-topic-immersions,Open and closed immersions,immersion|open subscheme|closed subscheme,unreviewed,,Discovery only
ega-topic-separated,Separated morphisms,separated|diagonal,unreviewed,,Discovery only
ega-topic-proper,Proper morphisms,proper|universally closed|valuative criterion,unreviewed,,Discovery only
ega-topic-finite,Finite and quasi-finite morphisms,finite morphism|quasi-finite|integral,unreviewed,,Discovery only
ega-topic-finite-type,Finite type and finite presentation,finite type|finite presentation|locally of finite,unreviewed,,Discovery only
ega-topic-projective,Projective and quasi-projective morphisms,projective|quasi-projective|ample,unreviewed,,Discovery only
ega-topic-noetherian,Noetherian schemes and approximation,noetherian|limit|approximation,unreviewed,,Discovery only
ega-topic-components,Irreducible components and associated points,irreducible component|associated point|generic point,unreviewed,,Discovery only
ega-topic-dimension,Dimension and codimension,dimension|codimension|chain of specializations,unreviewed,,Discovery only
ega-topic-depth,Depth and local criteria,depth|regular sequence|Cohen-Macaulay,unreviewed,,Discovery only
ega-topic-flatness,Flatness,flat|faithfully flat|generic flatness,unreviewed,,Discovery only
ega-topic-smooth,Smooth morphisms,smooth|formally smooth|Jacobian,unreviewed,,Discovery only
ega-topic-unramified,Unramified morphisms,unramified|formally unramified|differentials,unreviewed,,Discovery only
ega-topic-etale,Etale morphisms,etale|formally etale,unreviewed,,Discovery only
ega-topic-regularity,Regularity and geometric regularity,regular|geometrically regular|normal,unreviewed,,Discovery only
ega-topic-constructible,Constructibility,constructible|Chevalley|stratification,unreviewed,,Discovery only
ega-topic-openness,Open morphisms and loci,open morphism|openness|open locus,unreviewed,,Discovery only
ega-topic-formal,Formal schemes and completion,formal scheme|completion|adic,unreviewed,,Discovery only
ega-topic-qcoh,Quasi-coherent and coherent modules,quasi-coherent|coherent module|finite presentation,unreviewed,,Discovery only
ega-topic-cohomology,Sheaf and coherent cohomology,cohomology|derived functor|Cech,unreviewed,,Discovery only
ega-topic-proper-mapping,Proper mapping theorem,proper direct image|coherent direct image,unreviewed,,Discovery only
ega-topic-base-change,Cohomology and base change,cohomology and base change|base change map,unreviewed,,Discovery only
ega-topic-semicontinuity,Semicontinuity,semicontinuity|upper semicontinuous,unreviewed,,Discovery only
ega-topic-formal-functions,Formal functions,formal functions|completion of cohomology,unreviewed,,Discovery only
ega-topic-existence,Existence and algebraization,existence theorem|algebraization|formal coherent,unreviewed,,Discovery only
ega-topic-fibres,Geometric fibres and fibrewise criteria,geometric fibre|fibrewise|geometrically,unreviewed,,Discovery only
