qa_id,item_id,item_kind,source_unit,a_record,a_pdf_sha256,a_pdf_bytes,a_page1,a_box_pt,a_file,a_bytes,a_sha256,a_dpi,f_record,f_pdf_sha256,f_pdf_bytes,f_page1,f_box_pt,f_file,f_bytes,f_sha256,f_dpi,e_record,e_pdf_sha256,e_pdf_bytes,e_page1,e_box_pt,e_file,e_bytes,e_sha256,e_dpi,profile,mask,signature,difference,status,decision_id,supersedes
V000001,ega:I.1.3.9:proof:mathblock:1,mathblock,ega:I.1.3.9:proof,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,86,209;433;121;12,qa/a/b01.png,93287,D408A60FDB1621DE693C6C2B1B3D5D50E5DA43E323BF77BA2EF12BD8230EDE7D,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,60,220;427;146;11,qa/f/b01.png,176136,D2BB3BBFBA9F618FB5B4C7BCCA558667B54437DD1ADC9343E9B82A0F662C09DF,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,284,222;505;168;24,qa/e/b01.png,237003,5C4F11FB95D8A06A0687FD3F763804B8B24A521AF8AA56BA2C6F00B102185633,5000,mathblock-v1,terms|order|arrows|zeros|operators|primes|bars|subscripts|spacing|line_isolation,0->Ker(u)->M->Im(u)->0,english-trailing-comma-only,certified,D000154,
V000002,ega:I.1.3.9:proof:mathblock:2,mathblock,ega:I.1.3.9:proof,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,86,205;450;130;12,qa/a/b02.png,99978,4FDBE4C7E404181510AE01B8D94CF6BCC1593DA6185822683AF54F097BAFBFE1,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,60,215;445;152;11,qa/f/b02.png,186226,696DCEDF39466D1C60BD18F488061071324F82A4EF016EB5163D9F8998300EC0,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,284,217;524;178;24,qa/e/b02.png,253702,4C6908B3902038E08453C9515F9A43034F0DFE55F1AC4D691A23BE34DA945B28,5000,mathblock-v1,terms|order|arrows|zeros|operators|primes|bars|subscripts|spacing|line_isolation,0->Im(u)->N->Coker(u)->0,english-trailing-period-only,certified,D000154,
V000003,ega:I.1.7.3:diagram:xymatrix:1,diagram,ega:I.1.7.3:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,96,200;239;143;51,qa/a/d01.png,245646,F5386AFB0B9AC3897D8044A4216C833ECD8AD1ADF5B5B21EE8FC60754A8B7F4E,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,66,218;616;160;57,qa/f/d01.png,530576,E6A1E5FEC3F96AB5138D28D5D0D470D42CCA0AE98063833258B9AE960DB304B0,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,291,224;564;164;72,qa/e/d01.png,583061,4E1BC0B1B128BE9F33F15DDAE7A86D23BDBE05B4A13947BF3A140E514096EA80,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,B=Gamma(Y;O_Y)->Gamma(X;O_X)=A[phi];B->B_psi(x);Gamma(X;O_X)=A->A_x;B_psi(x)->A_x[theta_x#];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000004,ega:I.2.4.1:diagram:xymatrix:1,diagram,ega:I.2.4.1:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,100,262;552;39;43,qa/a/d02.png,70907,7F1EB5B4266418AFDB2687FEA743613D54FA1D35397089B9C9DD4B25512D8849,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,69,249;600;97;53,qa/f/d02.png,248127,C6B17451444BAFB9C4DA36DED572D450897405FD0A9498889EBB1A2DFB413ACA,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,297,256;631;100;66,qa/e/d02.png,264545,201E1382B30C958DB4C8001FC14F4A7C42BC4C7E36D9167BA1A19E862B94F57F,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,B'->B;B'->O_y;B->O_y;ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000005,ega:I.2.5.2:diagram:xymatrix:1,diagram,ega:I.2.5.2:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,102,246;483;67;39,qa/a/d03.png,79675,E08E143C773603E78E9A16EE63C75F49DAFCDE2D749EB7E2A17A34607D2172B3,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,71,253;99;90;49,qa/f/d03.png,216624,7836F42F9DF6DA63D5883EDCEBEFB3D4C072D00E36382D19288BFB1CFC044903,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,299,259;234;94;61,qa/e/d03.png,233700,628EA001337D3ADFE42EB3A8F3B50959827FBC384473434D0E8943291578AA64,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X->Y[u];X->S;Y->S;ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000006,ega:I.3.3.2:diagram:xymatrix:1,diagram,ega:I.3.3.2:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,107,226;381;146;51,qa/a/d04.png,230670,643B7173382B085847803018EBD42F4A08F041189ECC82336EED35EC747F52CA,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,74,217;233;161;54,qa/f/d04.png,483963,9358048963AFDF9A746793AB4870ECF4F52AD83F574F65B2CAD8BA54C5D0991C,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,303,225;159;162;70,qa/e/d04.png,557579,E6EB42597C796AA71FAB9278FA1AD4B481C93D2E684290A2AE71CFAA1069E94B,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,XxY->X'xY[f_x_1];X'xY->X''xY[f'_x_1];XxY->X;X'xY->X';X''xY->X'';X->X'[f];X'->X''[f'];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000007,ega:I.3.3.6:diagram:xymatrix:1,diagram,ega:I.3.3.6:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,108,264;262;69;64,qa/a/d05.png,163026,69420729CC9C524C39A3E3E12BB2B18C0D6111DF6FAC49ECE6BD725C22167859,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,74,262;633;71;58,qa/f/d05.png,304428,CF3EF7FFBEDF10E611135B53F5A8112B442C94EE982F49DC027DDF5817D862AF,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,303,267;606;77;75,qa/e/d05.png,340676,A5E1A13995AC9B9C03574FCF04C6F175B4645B646A76641E13F37A0176F1D77C,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X_S'->X[p];X->S[pi];X_S'->S'[pi'];S'->S[phi];X_S'->S[theta];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000008,ega:I.3.3.9:diagram:xymatrix:1,diagram,ega:I.3.3.9:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,108,251;580;104;67,qa/a/d06.png,251951,FEB49A5E3E1821F6000F4300BDB6279F27982C1C27BAAEBE7AAE298E4FE67C27,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,75,227;188;141;64,qa/f/d06.png,498330,B136A1325C8B0DF3212600DB977399F68370549DF505A0CA75FE67FCB59367D4,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,304,233;209;146;79,qa/e/d06.png,577292,E1290D14E2681987350735368821ACA36DFE02EEEBA76FB094170275D1351D73,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X_phi_phi'->X_phi[p'];X_phi->X[p];X->S[pi];X_phi->S'[pi'];X_phi_phi'->S''[pi''];S'->S[phi];S''->S'[phi'];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000009,ega:I.3.3.11:diagram:xymatrix:1,diagram,ega:I.3.3.11:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,109,247;457;91;68,qa/a/d07.png,201719,7568F8C0B834C82649E120B885D88E62E8EA64CFA80C1D45760006BC3091918A,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,75,238;600;118;63,qa/f/d07.png,438377,53A758DF639EF7407B5660D9997A21338ECA2247D1189AFF1448C7CD7BC98C02,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,304,245;645;122;77,qa/e/d07.png,475163,2F34706F87F21B8620905C97766EE1A391844F2FD18ADF15475043C051861AAA,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X_S'->Y_S'[f_S'];Y_S'->S'[psi_S'];X_S'->X;Y_S'->Y;S'->S;X->Y[f];Y->S[psi];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000010,ega:I.3.4.3:diagram:xymatrix:1,diagram,ega:I.3.4.3:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,111,256;383;82;63,qa/a/d08.png,208232,53587B0FE85BE1297343D373DB6269C41C95DF10769C5A2000FE2420D27A0BA9,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,77,249;87;97;62,qa/f/d08.png,441745,B5F835622D7C468B2F3B9255B66BCA4038CD7AA4D1B4DA2CF5051BB084CC1019,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,306,255;449;101;76,qa/e/d08.png,451854,4F68326F8FC1A902E0692AB12D152266E40962FEB2C27A966B64615E6489D70D,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,W(T)_S->X(T)_S[r'];W(T)_S->Y(T)_S[s'];X(T)_S->Z(T)_S[phi'];Y(T)_S->Z(T)_S[psi'];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000011,ega:I.3.4.8:diagram:xymatrix:1,diagram,ega:I.3.4.8:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,113,259;107;67;62,qa/a/d09.png,149595,30053BB6CD964154753D68D728B0A2E94D1A6DBE7BF77E2C8372A24B73AC7474,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,78,258;88;79;60,qa/f/d09.png,300061,DFFC26FE7443E0C65057778B5E4640CBF57D82459F80E205373D534EEB4F7F33,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,307,265;561;82;74,qa/e/d09.png,325868,19D44CA38EB181C0E7087681C02A614F23DC55BDBD50E25314B5757C4B29B3DA,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X_S'->X[p];X->Y[f];X_S'->Y_S'[f_S'];Y_S'->Y[q];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
