unit_id,item,unit_type,parent_id,source_start,source_end,source_loc,authority_sha256,source_topics,topic_evidence_labels,topic_evidence_tags,decision_id,disposition,review_state,stacks_labels,stacks_tags,rationale
tohoku:term:abelian-category,121;127,term,tohoku:section:1.4,121,127,sem/r18/nodes.csv:2,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,abelian,homology-section-abelian-categories,00ZX,D000001,existing_equivalent,reviewed_equivalent,homology-definition-abelian-category,0109,"The definitions agree: additive category, all kernels and cokernels, and every canonical coimage-to-image map is an isomorphism."
tohoku:term:acyclicity-criterion,121;158,term,tohoku:section:3.3,121,158,sem/r18/nodes.csv:3,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,derived-functor,cohomology-section-derived-functors;derived-section-right-derived-functor,0156;0716,D000219,structural_only,reviewed_structural,derived-lemma-subcategory-right-acyclics,05T8,"The source index term points to the class-based criterion of Lemma 3.3.1. The tagged Stacks lemma supplies the analogous acyclic-resolution mechanism, but this term is only a cross-sectional concept, not a standalone assertion."
tohoku:term:additive-category,121;126,term,tohoku:section:1.3,121,126,sem/r18/nodes.csv:4,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,additive,homology-section-additive-categories,09SE,D000002,existing_equivalent,reviewed_equivalent,homology-definition-additive-category,0104,Grothendieck's additive category is the Stacks preadditive category with zero object and binary biproducts; Stacks packages this as finite products.
tohoku:term:category,121;122,term,tohoku:section:1.1,121,122,sem/r18/nodes.csv:5,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D001049,existing_equivalent,integrated_source_stacks_and_independent_review,categories-definition-category;categories-remark-category-convention-boundary,0014,The derived category term is fully represented by the Stacks category definition together with the source-specific convention-boundary remark; the admitted p. 122 body coordinate supplies the exact source content and no additional live statement is needed.
tohoku:term:cech-cohomology,121;174,term,tohoku:section:3.8,121,174,sem/r18/nodes.csv:6,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,cech,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,01ED;01EO,D000220,existing_equivalent,reviewed_equivalent,cohomology-section-refinements-cech,09UY,Both treatments form Čech cohomology from coverings and refinement maps; the tagged Stacks section is the direct modern home for the indexed notion.
tohoku:term:closed-subspace-exact-sequence,121;166,term,tohoku:section:3.5,121,166,sem/r18/nodes.csv:7,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000221,structural_only,reviewed_structural,modules-lemma-canonical-exact-sequence,02UT,"The source term names the package developed in Section 3.5. Stacks has the corresponding canonical exact sequence, but the index headword itself carries no separate theorem to identify."
tohoku:term:cogenerator,121;134,term,tohoku:section:1.9,121,134,sem/r18/nodes.csv:8,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,grothendieck-category;injectives,derived-section-injective-resolutions;homology-section-injectives;injectives-section-grothendieck-categories;injectives-section-grothendieck-conditions,0134;013G;05AB;079A,D000721,existing_equivalent,integrated_source_stacks_and_independent_review,injectives-definition-grothendieck-conditions,079B,Stacks now defines a cogenerator by the exact dual factorization criterion: every proper quotient is detected by a map to the cogenerator which does not factor through that quotient.
tohoku:term:cohomological-dimension,121;167,term,tohoku:section:3.6,121,167,sem/r18/nodes.csv:9,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000222,structural_only,reviewed_structural,cohomology-proposition-cohomological-dimension-spectral,0A3G,"The source headword indexes the later cohomological-dimension discussion. The tagged Stacks proposition is a directly related spectral bound, not a literal definition of the term."
tohoku:term:cohomology-with-supports,121;156,term,tohoku:section:3.2,121,156,sem/r18/nodes.csv:10,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,support,cohomology-section-cohomology-support,0A39,D000966,existing_equivalent,integrated_source_stacks_and_independent_review,cohomology-definition-family-supports;cohomology-lemma-cohomology-family-supports,,"Stacks now defines a family of supports, Gamma_Phi, and H^p_Phi as its universal right-derived cohomological functor, including negative and zero degrees and acyclic-resolution computation. This is the exact source notion, not only the closed-subset special case."
tohoku:term:covering-method,121;179,term,tohoku:section:3.9,121,179,sem/r18/nodes.csv:11,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,cech,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,01ED;01EO,D000224,structural_only,reviewed_structural,cohomology-section-cech;cohomology-section-refinements-cech,01ED;09UY,"The source uses method of coverings as an umbrella for several Čech constructions and acyclicity criteria. The two tagged sections provide the infrastructure, but no single labelled statement is the term."
tohoku:term:delta-functor,121;139,term,tohoku:section:2.1,121,139,sem/r18/nodes.csv:12,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,delta-functor,homology-section-cohomological-delta-functor,010P,D000122,structural_only,reviewed_structural,homology-definition-cohomological-delta-functor,010Q,Stacks uses delta-functor for an exact cohomological sequence in degrees n>=0 between abelian categories; Tohoku's term points to broader nonexact partial-degree data with merely additive codomain.
tohoku:term:delta-star-functor,121;139,term,tohoku:section:2.1,121,139,sem/r18/nodes.csv:13,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000123,structural_only,reviewed_structural,,,"No local generic lowering-degree delta-star notion exists. The nearby exact-duality lemma changes variance but does not define delta-star, and its TeX label has no tag entry."
tohoku:term:derived-delta-functor,121;140,term,tohoku:section:2.2,121,140,sem/r18/nodes.csv:14,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,delta-functor,homology-section-cohomological-delta-functor,010P,D000124,structural_only,reviewed_structural,,,"The printed contents says derived delta-functor while the printed body heading and definition say universal delta-functor; direct-source replay establishes a genuine title variant, so this contents term is retained only as a structural alias and is not mapped to a Stacks tag."
tohoku:term:derived-functor,121;143,term,tohoku:section:2.3,121,143,sem/r18/nodes.csv:15,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,derived-functor,cohomology-section-derived-functors;derived-section-right-derived-functor,0156;0716,D000125,structural_only,reviewed_structural,derived-definition-derived-functor;derived-definition-higher-derived-functors,0157;015A,The local definitions give derived functors and their cohomology-object functors; Tohoku's body uses the classical injective/projective-resolution realization.
tohoku:term:diagram-category,121;130,term,tohoku:section:1.6,121,130,sem/r18/nodes.csv:16,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000687,existing_equivalent,integrated_source_stacks_and_independent_review,homology-section-additive-diagrams-relations;homology-definition-additive-diagram-relations,,Stacks now constructs the category of representations of a directed graph with integral path relations as additive functors from the corresponding free preadditive path category modulo relations. This is the source's category of diagrams in a Stacks-native formulation.
tohoku:term:diagram-scheme,121;131,term,tohoku:section:1.7,121,131,sem/r18/nodes.csv:17,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000701,existing_equivalent,integrated_source_stacks_and_independent_review,homology-definition-additive-diagram-relations,,"Stacks now defines a directed graph scheme by a vertex set, arrow set, and source and target maps, then uses it to construct graph-shaped and additive diagrams with relations."
tohoku:term:functor,121;124,term,tohoku:section:1.2,121,124,sem/r18/nodes.csv:18,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000007,existing_equivalent,reviewed_equivalent,categories-definition-functor,001B,"The object map, morphism maps, identity preservation, and composition preservation agree exactly for covariant functors."
tohoku:term:generator,121;134,term,tohoku:section:1.9,121,134,sem/r18/nodes.csv:19,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,grothendieck-category,injectives-section-grothendieck-categories;injectives-section-grothendieck-conditions,05AB;079A,D000722,existing_equivalent,integrated_source_stacks_and_independent_review,injectives-definition-grothendieck-conditions,079B,"Stacks now states the generator criterion as the singleton case of a set-indexed family of generators, matching the source's factorization-through-proper-subobjects definition in the abelian setting used by this chapter."
tohoku:term:global-ext,121;187,term,tohoku:section:4.2,121,187,sem/r18/nodes.csv:20,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,ext,cohomology-section-ext;derived-section-ext,06XP;0BQP,D000225,existing_equivalent,reviewed_equivalent,cohomology-section-global-RHom,0B6A,The source global Ext is the derived global Hom object and its cohomology. Stacks packages the same construction through global derived Hom.
tohoku:term:global-hom,121;185,term,tohoku:section:4.1,121,185,sem/r18/nodes.csv:21,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,,,,D000226,existing_equivalent,reviewed_equivalent,modules-lemma-internal-hom,01CN,The source global Hom is obtained from morphisms or global sections of the internal Hom sheaf; the tagged Stacks lemma gives the same Hom identification.
tohoku:term:homological-algebra,121;139,term,tohoku:chapter:II,121,139,sem/r18/nodes.csv:22,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000126,structural_only,reviewed_structural,,,"This is only the chapter-level subject heading, not a mathematical assertion with a single local Stacks target."
tohoku:term:inductive-limit,121;133,term,tohoku:section:1.8,121,133,sem/r18/nodes.csv:23,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,limits,categories-section-directed-colimits;categories-section-limits;cohomology-section-limits,002D;01FE;04AX,D000009,existing_equivalent,reviewed_equivalent,categories-definition-system-over-poset;categories-definition-colimit,0030;002F,The source inductive system is the Stacks system over a preorder and its inductive limit is precisely the colimit universal property.
tohoku:term:infinite-product,121;128,term,tohoku:section:1.5,121,128,sem/r18/nodes.csv:24,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,,,,D000010,existing_equivalent,reviewed_equivalent,categories-definition-product,002I,Both define an arbitrary set-indexed product by the same universal property and canonical projections.
