decision_id,unit_id,action,disposition,stacks_labels,rationale,review_state,supersedes
D000001,tohoku:term:abelian-category,set,existing_equivalent,homology-definition-abelian-category,"The definitions agree: additive category, all kernels and cokernels, and every canonical coimage-to-image map is an isomorphism.",reviewed_equivalent,
D000002,tohoku:term:additive-category,set,existing_equivalent,homology-definition-additive-category,Grothendieck's additive category is the Stacks preadditive category with zero object and binary biproducts; Stacks packages this as finite products.,reviewed_equivalent,
D000003,tohoku:term:category,set,extend_existing,categories-definition-category,"The core categorical data and axioms agree, but neither convention contains the other literally: the source requires a nonempty, possibly proper class of objects and pairwise disjoint Hom sets, while Stacks uses a set of objects, permits the empty category, and does not impose global disjointness. This is a convention-sensitive extension, not an equivalence.",reviewed_gap,
D000004,tohoku:term:cogenerator,set,new_statement,,"No labelled local definition matches the dual generator notion, and the source's AB5-plus-generator existence assertion is only mentioned without proof in the local tree.",reviewed_new_statement,
D000005,tohoku:term:diagram-category,set,new_statement,,"Stacks defines diagrams as functors from an index category, not Grothendieck's category of representations of a bare graph scheme with imposed relations; no labelled exact target was found.",reviewed_new_statement,
D000006,tohoku:term:diagram-scheme,set,new_statement,,"No labelled local target defines Grothendieck's triple of vertex set, arrow set, and direction map independently of composition.",reviewed_new_statement,
D000007,tohoku:term:functor,set,existing_equivalent,categories-definition-functor,"The object map, morphism maps, identity preservation, and composition preservation agree exactly for covariant functors.",reviewed_equivalent,
D000008,tohoku:term:generator,set,existing_weaker,injectives-definition-grothendieck-conditions,"The factorization-through-proper-subobjects criterion agrees, but the source defines it for a category with subobjects whereas Stacks states it inside an abelian category.",reviewed_weaker,
D000009,tohoku:term:inductive-limit,set,existing_equivalent,categories-definition-system-over-poset;categories-definition-colimit,The source inductive system is the Stacks system over a preorder and its inductive limit is precisely the colimit universal property.,reviewed_equivalent,
D000010,tohoku:term:infinite-product,set,existing_equivalent,categories-definition-product,Both define an arbitrary set-indexed product by the same universal property and canonical projections.,reviewed_equivalent,
D000011,tohoku:term:infinite-sum,set,existing_equivalent,categories-definition-coproduct,"The source's arbitrary direct sum in a category is the Stacks coproduct, with the same universal property and canonical injections/coprojections.",reviewed_equivalent,
D000012,tohoku:term:injective-object,set,existing_equivalent,homology-definition-injective;homology-lemma-characterize-injectives,"Stacks gives the extension definition and proves its equivalence with exactness of Hom(-,I), exactly the two source formulations.",reviewed_equivalent,
D000013,tohoku:term:permanence-property,set,new_statement,,The source uses this as a heading for simultaneous inheritance of AB conditions by graph-relation diagram categories; no labelled local term or general theorem matches it.,reviewed_new_statement,
D000014,tohoku:term:projective-limit,set,existing_equivalent,categories-definition-system-over-poset;categories-definition-limit,The source projective system is the inverse system over a preorder and its projective limit is the Stacks limit universal property.,reviewed_equivalent,
D000015,tohoku:term:projective-object,set,existing_equivalent,homology-definition-projective;homology-lemma-characterize-projectives,"Stacks gives the lifting definition and its equivalent exactness-of-Hom characterization, matching the dual source notion.",reviewed_equivalent,
D000016,tohoku:term:quotient-category,set,existing_stronger,homology-lemma-serre-subcategory-is-kernel,Stacks constructs the same abelian Serre quotient and adds its universal property; Grothendieck's 'thick' subcategory is Stacks' Serre subcategory.,reviewed_stronger,
D000017,tohoku:def:additive-diagram-relations:p1,set,new_statement,,No labelled local definition encodes formal integral linear combinations of paths and auxiliary identity symbols as relations on diagrams.,reviewed_new_statement,
D000018,tohoku:def:additive-diagram-relations:p2,set,new_statement,,No labelled local target defines R-commutative diagrams or the resulting additive graph-relation category C^Sigma.,reviewed_new_statement,
D000019,tohoku:def:canonical-diagram-extension,set,new_statement,,"Postcomposition by a functor is standard, but the local tree has no labelled statement matching the canonical extension F^Sigma, its functoriality in F, and preservation of exactness.",reviewed_new_statement,
D000020,tohoku:def:cogenerator-family,set,new_statement,,"No labelled local definition covers families of cogenerators, and no labelled theorem states the source's AB5-plus-generator implication or module examples.",reviewed_new_statement,
D000021,tohoku:def:commutation-relations,set,new_statement,,Stacks diagrams are functors and therefore already respect index-category composition; it does not label the source's separate graph path and loop relations.,reviewed_new_statement,
