topic_id,label,coverage,confidence,evidence_labels,evidence_tags,rationale,review_state
additive,Additive categories,direct,high,homology-section-additive-categories,09SE,Preadditive and additive categories are developed directly.,topic_scope_reviewed
abelian,Abelian categories,direct,high,homology-section-abelian-categories,00ZX,Abelian categories are developed directly.,topic_scope_reviewed
exact-functor,Exact functors,direct,high,categories-section-exact-functor,0033,Exact functors have a dedicated section.,topic_scope_reviewed
injectives,Injective objects,direct,high,homology-section-injectives;derived-section-injective-resolutions,0134;013G,Injective objects and resolutions are developed directly.,topic_scope_reviewed
grothendieck-category,Grothendieck categories,direct,high,injectives-section-grothendieck-conditions;injectives-section-grothendieck-categories,079A;05AB,Grothendieck conditions and existence of injectives are developed directly.,topic_scope_reviewed
delta-functor,Delta functors,direct,high,homology-section-cohomological-delta-functor,010P,Universal cohomological delta functors are explicit.,topic_scope_reviewed
derived-functor,Derived functors,direct,high,derived-section-right-derived-functor;cohomology-section-derived-functors,0156;0716,Classical right derived functors and their sheaf form are explicit.,topic_scope_reviewed
ext,Ext,direct,high,derived-section-ext;cohomology-section-ext,06XP;0BQP,Ext groups and Ext sheaves have dedicated sections.,topic_scope_reviewed
spectral-sequence,Spectral sequences,direct,high,homology-section-spectral-sequence,011M,The abstract spectral-sequence formalism is developed directly.,topic_scope_reviewed
sheaf-cohomology,Sheaf cohomology,direct,high,cohomology-section-cohomology-sheaves,01DZ,Sheaf cohomology is developed directly.,topic_scope_reviewed
cech,Cech cohomology,direct,high,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,01ED;01EO,Cech complexes and comparison are explicit.,topic_scope_reviewed
support,Cohomology with support,direct,high,cohomology-section-cohomology-support,0A39,Cohomology with support is developed directly.,topic_scope_reviewed
limits,Limits and filtered colimits,direct,high,categories-section-directed-colimits;categories-section-limits;cohomology-section-limits,04AX;002D;01FE,The categorical limits and cohomological filtered-colimit behavior are explicit.,topic_scope_reviewed
