id,work,item,unit_type,parent_id,title_en,summary_en,source_start,source_end,authority_sha256,source_file,source_line,topics
tohoku:term:abelian-category,Tohoku,121;127,term,tohoku:section:1.4,abelian category,p121 semantic seed + admitted body coordinate,121,127,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,2,abelian
tohoku:term:acyclicity-criterion,Tohoku,121;158,term,tohoku:section:3.3,acyclicity criterion,p121 semantic seed + admitted body coordinate,121,158,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,3,derived-functor
tohoku:term:additive-category,Tohoku,121;126,term,tohoku:section:1.3,additive category,p121 semantic seed + admitted body coordinate,121,126,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,4,additive
tohoku:term:category,Tohoku,121;122,term,tohoku:section:1.1,category,p121 semantic seed + admitted body coordinate,121,122,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,5,
tohoku:term:cech-cohomology,Tohoku,121;174,term,tohoku:section:3.8,Čech cohomology,p121 semantic seed + admitted body coordinate,121,174,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,6,cech
tohoku:term:closed-subspace-exact-sequence,Tohoku,121;166,term,tohoku:section:3.5,exact sequence relative to a closed subspace,p121 semantic seed + admitted body coordinate,121,166,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,7,
tohoku:term:cogenerator,Tohoku,121;134,term,tohoku:section:1.9,cogenerator,p121 semantic seed + admitted body coordinate,121,134,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,8,grothendieck-category;injectives
tohoku:term:cohomological-dimension,Tohoku,121;167,term,tohoku:section:3.6,cohomological dimension,p121 semantic seed + admitted body coordinate,121,167,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,9,
tohoku:term:cohomology-with-supports,Tohoku,121;156,term,tohoku:section:3.2,"cohomology with supports H Phi p(X,F)",p121 semantic seed + admitted body coordinate,121,156,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,10,support
tohoku:term:covering-method,Tohoku,121;179,term,tohoku:section:3.9,method of coverings,p121 semantic seed + admitted body coordinate,121,179,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,11,cech
tohoku:term:delta-functor,Tohoku,121;139,term,tohoku:section:2.1,∂-functor,p121 semantic seed + admitted body coordinate,121,139,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,12,delta-functor
tohoku:term:delta-star-functor,Tohoku,121;139,term,tohoku:section:2.1,∂*-functor,p121 semantic seed + admitted body coordinate,121,139,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,13,
tohoku:term:derived-delta-functor,Tohoku,121;140,term,tohoku:section:2.2,derived ∂-functor,p121 semantic seed + admitted body coordinate,121,140,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,14,delta-functor
tohoku:term:derived-functor,Tohoku,121;143,term,tohoku:section:2.3,derived functor,p121 semantic seed + admitted body coordinate,121,143,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,15,derived-functor
tohoku:term:diagram-category,Tohoku,121;130,term,tohoku:section:1.6,category of diagrams,p121 semantic seed + admitted body coordinate,121,130,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,16,
tohoku:term:diagram-scheme,Tohoku,121;131,term,tohoku:section:1.7,diagram scheme,p121 semantic seed + admitted body coordinate,121,131,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,17,
tohoku:term:functor,Tohoku,121;124,term,tohoku:section:1.2,functor,p121 semantic seed + admitted body coordinate,121,124,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,18,
tohoku:term:generator,Tohoku,121;134,term,tohoku:section:1.9,generator,p121 semantic seed + admitted body coordinate,121,134,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,19,grothendieck-category
tohoku:term:global-ext,Tohoku,121;187,term,tohoku:section:4.2,"global Ext O n(X;A,B)",p121 semantic seed + admitted body coordinate,121,187,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,sem/r18/nodes.csv,20,ext
tohoku:term:global-hom,Tohoku,121;185,term,tohoku:section:4.1,"global Hom O(A,B)",p121 semantic seed + admitted body coordinate,121,185,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF;8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53,sem/r18/nodes.csv,21,
tohoku:term:homological-algebra,Tohoku,121;139,term,tohoku:chapter:II,homological algebra,p121 semantic seed + admitted body coordinate,121,139,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,22,
tohoku:term:inductive-limit,Tohoku,121;133,term,tohoku:section:1.8,inductive limit,p121 semantic seed + admitted body coordinate,121,133,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,23,limits
tohoku:term:infinite-product,Tohoku,121;128,term,tohoku:section:1.5,infinite product,p121 semantic seed + admitted body coordinate,121,128,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,24,
tohoku:term:infinite-sum,Tohoku,121;128,term,tohoku:section:1.5,infinite sum,p121 semantic seed + admitted body coordinate,121,128,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,25,
tohoku:term:injective-object,Tohoku,121;135,term,tohoku:section:1.10,injective object,p121 semantic seed + admitted body coordinate,121,135,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,26,injectives
tohoku:term:leray-spectral-sequence,Tohoku,121;171,term,tohoku:section:3.7,Leray spectral sequence,p121 semantic seed + admitted body coordinate,121,171,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,27,spectral-sequence
tohoku:term:limit-in-sheaf-cohomology,Tohoku,121;181,term,tohoku:section:3.10,passage to the limit in sheaf cohomology,p121 semantic seed + admitted body coordinate,121,181,5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF,sem/r18/nodes.csv,28,limits;sheaf-cohomology
