issue_id,unit_id,status,kind,claim,evidence_labels,evidence,control,resolution_decision
I000001,tohoku:section:1.1:p1,resolved,intake_section_misclassification,"The initial adapter treated every node typed section as structural-only even though 74 such nodes include substantive definitions, constructions, statements, and discussion paragraphs.",,"Frozen Tohoku units.csv and source node tohoku:section:1.1:p1 expose a category definition in a row typed section; the initial cfg.json structural_types list included section, so map generation skipped explicit mathematical adjudication for the whole class.",Never classify a Tohoku row as structural from node_type=section alone; require an explicit append-only decision for every affected unit and keep the generated map incomplete until all are reviewed.,D000070
I000002,tohoku:diagram:3.4.2:H1-square,resolved,diagram_geometry_and_prior_qa_failure,"The predecessor readers were certified without one dedicated 5000-dpi-equivalent authority crop and one dedicated 5000-dpi-equivalent output crop per language for every diagram. Reopened review found downward arrowheads colliding with lower-row glyphs in the p.164 square and the same compressed-row defect on the p.165, p.186, and p.205 diagram surfaces.",,"Zenodo record 21862687 publishes the repaired readers and qa-5000.zip (29,058,896 bytes / SHA-256 AAB464F7568B9DF3610834706B40E1BCF43A46D225E0150319DA88B3264720EE). Its object map covers 15 diagrams and 27 intricate blocks with 127 accepted and 26 preserved rejected crops; three anonymous readbacks returned zero file mismatches and two full QA-archive replays verified 158 members / 37,404,987 uncompressed bytes / errors [].","Require one tightly bounded authority crop and separate French and English output crops at 5000 dpi-equivalent for every individual diagram; verify every object, edge, absent edge, direction, hook, equality, label, prime, bar, subscript, geometry choice, and label side. Grouped page crops never certify an object. Keep this integration issue active until an explicit source-to-Stacks decision for the diagram or its mathematical parent supplies the required resolution link.",D000324
I000003,tohoku:diagram:3.4.2:H1-square,resolved,resolved_issue_without_mapping_decision,"The first post-publication mapping replay marked I000002 resolved by an external release URL before any append-only source-to-Stacks decision existed for the diagram, so the validator correctly rejected the unknown resolution decision and did not promote generated outputs.",,"Failed mcheck.json was 39,202 bytes / SHA-256 7FF20D19F556465DB840A6B7312B7BA4D6D9F27271A8D9C3A6C7027398692BCE, status FAIL, outputs_promoted=false, sole error 'unknown resolution decision in I000002'; map.csv and ucand.csv remained at their prior known-good bytes.","A resolved issue must cite an existing append-only D decision. Until Chapter III review supplies that decision, keep both the external visual repair and this integration-process failure active, preserve the failed receipt identity here, and rerun the adapter without changing known-good generated outputs on failure.",D000324
I000004,tohoku:prop:1.9.2,resolved,authority_confirmed_false_generator_assertion,The last assertion of Proposition 1.9.2 is false: the displayed epsilon-family need not generate the diagram category.,,"Official J-STAGE Part I printed p.135 / authority SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF; in Ab for the one-arrow scheme 1 to 2, D=(Z identity-to Z) has the proper subdiagram B=(2Z to Z), every map from epsilon_1(Z) is zero, and every map from epsilon_2(Z) factors through B.","Retain the valid membership assertion, classify the false generator assertion as historical rather than mapping it to a Stacks theorem, and preserve the counterexample and edition correction in the release lineage.",D000063
I000005,tohoku:prop:1.9.2:proof,resolved,authority_confirmed_invalid_proof_identification,"The proof's claimed identification Hom(epsilon_s(A),D)=Hom(A,D(s)) fails whenever s has outgoing arrows.",,The same J-STAGE p.135 authority and one-arrow counterexample show that naturality imposes conditions invisible in an arbitrary map A to D(s); the published English and corrected French editions carry the explicit editorial correction while the diplomatic French remains unchanged.,Classify the embedded proof as structural under the source-error parent; do not derive or publish a Stacks statement from the invalid Hom identification.,D000064
I000006,tohoku:thm:1.10.1:remark:3,resolved,dependent_claim_on_false_proposition,"Remark 1.10.1(3) cites Proposition 1.9.2 for stability of the generator hypothesis in diagram categories, so its stated justification inherits the false last assertion.",,Official Part I printed p.137 cites Propositions 1.6.1 and 1.9.2; the p.135 counterexample breaks the generator-stability step while leaving the pointwise permanence assertions separate.,Retain the remark as dependency-qualified historical evidence and assert no Stacks coverage for the broken generator-stability implication.,D000120
I000007,tohoku:term:derived-delta-functor,resolved,printed_toc_body_title_variant,The printed contents calls Section 2.2 derived delta functors while the body calls it universal delta functors; the two source-visible titles are not interchangeable.,,"Official J-STAGE Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed pp.121 and 140; direct layer replay preserves both distinct wordings.","Keep the contents wording as a structural alias, use the body wording for the canonical section, and do not map the contents alias as the universal-definition statement.",D000124
I000008,tohoku:def:universal-delta-functor,resolved,source_unbound_index_and_diplomatic_normalization,The print has T-prime indexed by zero and five occurrences of an unbound i_0; the earlier diplomatic text silently changed the first superscript to i.,,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.140; dedicated 5000-dpi crop SHA-256 117413C068DE035E5DD2CEA168C9D2978946960D40256574813DC37EB3367201; TOH-SRC-P140-004 and TOH-SRC-P140-005.","Restore the exact printed superscript and unbound symbols in diplomatic French; use degree zero at the five sites in corrected French and English, and map only the corrected mathematical statement.",D000164
I000009,tohoku:example:sheaf-ext,resolved,source_overstatement,"The unconditional claim that the stated sheaf-module categories lack enough projectives is false for a one-point space, where the category is R-Mod.",,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.144; dedicated 5000-dpi crop SHA-256 28933B2D557D3B5D69043775BE97DF626B99482828B7654F3805F56E452CE79C; TOH-SRC-P144-003.",Preserve the unconditional print diplomatically; qualify corrected French and English to say such categories may fail to have enough projectives in general.,D000182
I000010,tohoku:def:associated-graded,resolved,source_indexing_inconsistency_and_editorial_convention,The printed reindexing footnote makes the displayed kernel and cokernel equal F^{n-1}/F^n while naming them G^n and asserting an incompatible G^n=G_{-n}.,,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.145; dedicated 5000-dpi crop SHA-256 09497041604B1CBC2F8EB581CEA58BE1E06359966A3B46CA3AA520A1DEE06568; TOH-SRC-P145-004 and TOH-SRC-P145-005.","Restore all printed upper/lower indices diplomatically; mark the coherent corrected convention explicitly editorial and non-unique, and do not claim an exact labelled Stacks equivalent.",D000150
I000011,tohoku:def:resolving-functor,resolved,source_type_error,"Both printed expressions Z^0 bold-F^0 are ill-typed because Z^0 acts on the complex-valued resolving functor, not on its object-valued degree-zero component.",,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.149; dedicated 5000-dpi crop SHA-256 E0566BF57CDE9CD64BD525F74BFAD1AEA7117B32AC06BF48BF545FB62FBDEF0E; TOH-SRC-P149-003.",Preserve the two printed expressions diplomatically; correct them to Z^0(bold-F) in corrected French and English and retain the terminology boundary in the Stacks decision.,D000159
I000012,tohoku:prop:2.5.4,resolved,source_undefined_symbol,"Proposition 2.5.4 prints bold-F(K), but K is undefined and the construction, equation (2.5.6), and proof uniformly use A.",,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.152; dedicated 5000-dpi crop SHA-256 4016EBF154516FF76D54D621EBA624C5674070C2282D9A0360E7C1D8D4C2D31A; TOH-SRC-P152-002.",Preserve K diplomatically; correct K to A in corrected French and English and bind the mapping decision to that repaired statement.,D000194
I000013,tohoku:construction:four-functor-square:p1,resolved,source_category_and_functor_glyph_errors,"The source says enough injectives in the first three categories although the required source categories are C, C-prime, and C-triple-prime; prior local text also misread the printed bold resolving functor as plain F.",,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.152; dedicated 5000-dpi crop SHA-256 B930092379366F2DD4134E34D423FE0F6F3840B98FA7C4FBC9BC1556A536F8F9; TOH-SRC-P152-003 through TOH-SRC-P152-005.","Correct the category list, restore bold-F diplomatically, unpack every bold-F^q(I) as G-acyclic in corrected French and English, and preserve the earlier low-detail reading as superseded evidence.",D000139
I000014,tohoku:prop:2.5.5:proof,resolved,source_wrong_functor_symbols,"Seven later bold-F-prime occurrences are applied to C(A) or A, objects in C on which only bold-F can act; earlier bold-F-prime occurrences remain well typed.",,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.153; dedicated 5000-dpi crops SHA-256 6204B02569EB48A65F707EAE15AF3008852147B58BF83B476D9BBA0F74E166D8 and C44C3E5B2C42E0FDB7437B2A183F1CD642004F5283EC30E9D95418F92614010E; TOH-SRC-P153-006.","Replace exactly the seven later wrong primed symbols in corrected French and English, retain the earlier typed primed occurrences and exact diplomatic print, and map the proof only with the p.152 componentwise acyclicity repair.",D000197
I000015,tohoku:cor:2.5.5,resolved,source_functor_glyph_error,"The corollary hypothesis subjects are the bold resolving functors bold-F and bold-G-prime, not the plain functors used in the earlier local transcription.",,"Official Part I SHA-256 5A8E5720BC2EF8905BF85F7919C65AC4A87A31CFC854BD77E6B5084C0D2DEBEF, printed p.153; dedicated 5000-dpi crop SHA-256 92A3777B689642806D2EE9450DF4479886148F4CEDE676E1779A0794BC8A4119; TOH-SRC-P153-007 and TOH-SRC-P153-008.","Restore both bold subjects diplomatically; unpack both componentwise acyclicity hypotheses in corrected French and English, and preserve the prior plain-subject reading as superseded evidence.",D000149
I000016,tohoku:construction:fixed-point-free-refinement,resolved,source_invalid_equivariant_refinement_step,The printed construction replaces only the coarser covering U by the free-indexed covering G times I and then assumes an equivariant refinement function from the unchanged finer covering V. Such a map need not exist when the index G-set of V has a stabilizer.,,"Official Part II SHA-256 8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53, printed pp.211--212. For G=C2, a one-point fixed index G-set admits no equivariant map to a free G-set.","Preserve the one-sided construction as printed in diplomatic source work; in Stacks replace both coverings by their free G-indexed refinements, use the resulting equivariant quasi-isomorphisms as a roof, and bind coverage to this corrected canonical construction.",D000912
I000017,tohoku:lemma:5.5.5,resolved,source_proof_gap_and_cech_convention_boundary,"The printed proof infers that a presheaf section vanishes on a union-neighbourhood from the vanishing of its germs near finitely many points of one orbit fibre. This inference is invalid for a nonseparated presheaf; in addition, the Stacks all-tuples Cech complex must explicitly normalize the coefficient on the empty intersection.",,"Official Part II SHA-256 8D632A04EE0FA987B40B721BEE6E64BB3E641D6A1CE02335556213F1564C9A53, printed pp.212--213. On a discrete two-point space, the normalized presheaf with P(X)=Z and P(U)=0 for every proper open U has a nonzero section with all germs zero, disproving the proof step. Tohoku p.153 defines presheaves only on nonempty opens, so P(emptyset)=0 is the canonical Stacks extension rather than an extra source hypothesis.","Preserve the printed argument in the diplomatic lineage. In Stacks use locally finite equivariant slice shrinkings and individual zero-neighbourhoods, never a local-to-union gluing inference, and state P(emptyset)=0 so the all-tuples complex matches Tohoku's nonempty-open convention.",D000916
